gene_name,F_pval,highly_variable_rank,on_ratio
RAD51,0.002536891497169768,100.0,0.056818181818181816
HLA-DPA1,7.23737439230222e-13,104.0,0.3494318181818182
ZBTB17,0.05551400818589353,105.0,0.05397727272727273
ACAD8,0.5411239339803423,109.0,0.11363636363636363
APLP2,0.004982470866008528,110.0,0.11079545454545454
KIF22,2.6133860761187803e-05,111.0,0.14772727272727273
CDKN1A,4.5699355441053294e-11,112.0,0.1875
GZMH,1.4029294571367786e-07,115.0,0.625
CEACAM21,0.00283986396213139,120.0,0.19886363636363635
MCM2,5.222544734193108e-05,122.0,0.05965909090909091
RGS16,1.4716580393806246e-06,125.0,0.1278409090909091
LTA,2.338145370622049e-12,126.0,0.26988636363636365
KPNA2,0.012902996100239034,128.0,0.3125
MIR155HG,5.107921843914186e-29,131.0,0.2528409090909091
KIF2C,0.0008278567755885426,132.0,0.05113636363636364
JADE2,0.5952929392196105,133.0,0.0625
RGS1,1.918514557791594e-13,134.0,0.17329545454545456
TCTN3,0.0037827560507823284,136.0,0.2727272727272727
MPZL2,3.119681420800894e-09,139.0,0.08238636363636363
CORO1A,8.057733433306157e-10,142.0,0.7073863636363636
MCM10,0.0010126119937878448,143.0,0.056818181818181816
PRKCE,1.4293284719077983e-06,146.0,0.07670454545454546
GADD45B,0.09952407194234818,147.0,0.23011363636363635
EXT2,0.7755420835548734,152.0,0.06534090909090909
NISCH,0.15997931668985796,154.0,0.056818181818181816
CD83,0.013377306276400394,156.0,0.05397727272727273
ZNF143,0.7329811056193405,158.0,0.10227272727272728
ASB2,2.567764545084093e-19,159.0,0.20738636363636365
TNF,0.00022877267197759024,165.0,0.41761363636363635
TYK2,0.9297249224294156,170.0,0.1278409090909091
RBM19,0.17760418265699446,173.0,0.17613636363636365
TRAF2,0.07723168621156305,175.0,0.06534090909090909
VPS39,0.27118163268141565,176.0,0.09943181818181818
