,promoter_R_sq,num_eig,num_peaks,num_sigpeaks,num_sigpeaks_pt2,eigen0_R_sq,eigen1_R_sq,eigen2_R_sq,eigen3_R_sq,eigen4_R_sq,eigen5_R_sq,eigen6_R_sq,eigen7_R_sq,eigen8_R_sq,eigen9_R_sq,eigen10_R_sq,eigen11_R_sq
SNIP1,0.004696331452578306,0,2.0,0.0,0.0,0.1395394825606046,,,,,,,,,,,
RP3-423B22.5,0,0,2.0,0.0,0.0,,,,,,,,,,,,
GNL2,0.010383393615484238,0,3.0,0.0,0.0,0.15886115207928422,,,,,,,,,,,
C1orf109,0.004736665170639753,0,2.0,0.0,0.0,,,,,,,,,,,,
C1orf122,0,0,2.0,0.0,0.0,0.12298579028552584,,,,,,,,,,,
MTF1,0,0,2.0,0.0,0.0,0.12249699399833616,,,,,,,,,,,
INPP5B,0,0,0.0,0.0,0.0,,,,,,,,,,,,
SF3A3,0.08391138166189194,0,7.0,0.0,0.0,0.08391140282195599,,,,,,,,,,,
FHL3,0,0,6.0,0.0,0.0,0.1979852641576226,0.06960439722544698,0.018281549937773978,,,,,,,,,
UTP11L,0.036711979657411575,1,6.0,1.0,1.0,0.3229984829720756,0.0965130659460027,0.02093242208777117,0.00024881832550778196,,,,,,,,
RRAGC,0,0,2.0,0.0,1.0,0.22582104193023864,,,,,,,,,,,
RP5-864K19.4,0.008757147938013077,0,2.0,0.0,0.0,0.10909233308955542,,,,,,,,,,,
MYCBP,0,0,0.0,0.0,0.0,,,,,,,,,,,,
AKIRIN1,0.016295509412884712,0,2.0,0.0,0.0,,,,,,,,,,,,
NDUFS5,0,1,3.0,0.0,1.0,0.28999700015287005,0.007455264886372199,,,,,,,,,,
MACF1,0.11665920913219452,0,11.0,0.0,0.0,0.16204392114633576,0.0016533547338583325,,,,,,,,,,
RP11-420K8.1,0,0,0.0,0.0,0.0,,,,,,,,,,,,
RP11-69E11.4,0.18199710547924042,0,2.0,0.0,0.0,0.18199707508694205,,,,,,,,,,,
