,gene_name
238,MTATP6P1
239,CCR1
240,PLSCR1
241,TK1
242,RGL4
243,IDI1
244,SH2D1A
245,WDR76
246,GZMH
247,CCND3
248,RP11-493L12.5
249,MT-TR
250,MCM5
251,SLC31A2
252,STAP1
253,HLA-DPB1
254,ANXA2
255,HMGN1P38
256,AFAP1L2
257,PRF1
258,CALM3
259,GAB3-1
260,TMSB4XP4
261,GLUL
262,PPP2R5C
263,RAD54L2
264,SLC41A2
265,CD70
266,S100A11
267,NELL2
268,MT-TM
269,CFL1
270,CSF2
271,PAG1
272,IVNS1ABP
273,FTH1P8-1
274,PRDM1
275,FERMT3
276,OAS1
277,FXYD5
278,ARHGDIA
279,APBB2
280,IL10RA
281,THEMIS
282,CYTIP
283,SNX1
284,HLA-H
285,ZNF330
286,TOB1
287,SHCBP1
288,GINS2
289,IFI44
290,TNFRSF18
291,CASC7
292,SLC4A10
293,BIRC5
294,FEZ1
295,MT-RNR1
296,HIRIP3
297,RSAD2
298,TXN
299,MPRIP
300,MT-TL2
301,CCDC109B
302,FAM49B
303,GGT1
304,AC007969.5
305,LINC00892
306,CNN2
307,FRG1B
308,RB1
309,KLRC4
310,LGALS9
311,PVT1
312,PRKCE
313,TMSB4XP2
314,RGS16
315,MT-ATP6
316,PTTG1
317,NFATC3
318,PTP4A2
319,WSB1
320,NAMPTL
321,ETV5
322,ARHGDIB
323,LSP1
324,GALM
325,SNX9
326,POU2F2
327,ENTPD1
328,FAM3C
329,RAB7L1
330,CCDC28B
331,HNRNPA1
332,AHNAK
333,RP11-492E3.2
334,TIMM23
335,DPP4
336,TXK
337,KLRK1
338,IQCG
339,PRSS21
340,FLNA-1
341,STOM
342,TRIM22
343,HOTAIRM1
344,IL16
345,UBXN11
346,SGOL1
347,IL18R1
348,ABI3
349,TXNIP
350,TMSB4XP8
351,RP11-475C16.1
352,CD8B
353,CD48
354,EGR1
355,RPS20
356,ACTR3
357,HSPB1
358,MLLT4
359,STAT1
360,GBP1
361,HNRNPL
362,ARL4C
363,ATF4
364,GSTP1
365,EEF1D
366,EMC7
367,RPS3A
368,MAP4K1
369,ANP32A
370,HMGN2
371,RPL27
372,MRPL38
373,C7orf50
374,ACAT2
375,CTD-2328D6.1
376,MT-TS2
377,RP11-94L15.2
378,HPGD
379,PPIB
380,RNF213
381,ERI1
382,DDAH2
383,RHOH
384,WARS
385,AC016739.2
386,SELPLG
387,GPR155
388,CPNE8
389,C4orf48
390,IDS-2
391,ARL6IP6
392,YPEL5
393,DCK
394,CARS
395,AHI1
396,SPN
397,GIMAP1
398,SSR3
399,MT-TD
400,PTPRN2
401,SPTBN1
402,SPC24
403,GTPBP8
404,HLA-A
405,MT-TP
406,KLF6
407,RPS27L
408,HMGN1
409,MINOS1
410,ANXA6
411,PPAP2A
412,LMAN1
413,HMGN2P5
414,NMI
415,EIF1AY
416,CLSPN
417,SYNGR2
418,ITGA1
419,AP2S1
420,CTB-79E8.3
421,CDC25B
422,PGAM1
423,CRKL
424,CDKN2A
425,HSPH1
426,ITGAL
427,NCDN
428,GPR171
429,MFNG
430,CDCA7
431,CHCHD2
432,PDCD5
433,RPL41P1
434,RP4-604A21.1
435,RPL39L
436,TGIF1
437,MT-CO1
438,CENPW
439,DTL
440,C14orf64
441,SEPT1
442,HIST1H4C
443,RP1-159A19.3
444,EIF4H
445,POLR2L
446,CALR
447,RP11-75L1.2
448,RPL37A
449,EBP-1
450,UBE2C
451,KCNA3
452,TPI1
453,STYK1
454,TMSB4X
455,DNMT1
456,CRELD2
457,SOCS1
458,HSP90AB1
459,LINC01160
460,GLO1
461,PLEKHA1
462,MYO1E
463,BPGM
464,TOP2A
465,DFNA5
466,ARPC1B
467,SSBP3
468,FAM65B
469,ATAD2
470,WDFY2
471,MCM3
472,VTA1
473,EXTL2
474,KIF22
475,ARL8B
476,MTX3
477,PRELID1
478,SERPINB1
479,ERO1L
480,CDK6
481,ARF4
482,SDC4
483,TUBA4A
484,DCTN3
485,CDKN3
486,ZCRB1
487,ITGB7
488,EIF5A
489,ENOSF1
490,CD86
491,FAS
492,CD244
493,STXBP2
494,TMED10
495,NCOA3
496,TMSB4XP1
497,TMEM204
498,MIR4458HG
499,CDC37
