gene_name,F_pval
PDE7B,4.873178972069649e-09
RPL21,5.594517963600225e-09
LPAR6,5.7850942456242986e-09
MT-RNR2,5.85735680070851e-09
CD59,6.453964250730522e-09
TNFRSF4,7.310860970734886e-09
HMGB1P17,7.318231433336953e-09
RPS14,7.721768241329456e-09
CADM1,7.788406304506373e-09
IL32,8.326852654333329e-09
HLA-DQB1,9.238068779089569e-09
CTSL,9.814366752843891e-09
ISG15,9.850061632651598e-09
CTSW,9.92566687877305e-09
GZMH,1.1909355385566383e-08
GDF10,1.2531383399038521e-08
CREM,1.3189677892030316e-08
RPS27,1.508304719580644e-08
RP11-475C16.1,1.6383332747970815e-08
ID3,2.3030697254752414e-08
TMSB10,2.3876798031769775e-08
RPL18A,2.5123018627512e-08
LINC00861,2.636637264042422e-08
RP11-316P17.2,3.089762328244958e-08
C10orf128,3.177848730615762e-08
KLRC4-KLRK1,3.302551556066055e-08
LAYN,3.31056503341973e-08
CDCP1,3.933273539550996e-08
ERI1,4.1555341120709034e-08
RP11-222K16.2,4.4493069869755346e-08
NT5E,4.786899738737093e-08
TRIM22,4.9724557604711106e-08
AC006129.4,5.121839367280164e-08
RPS29,5.741505854794111e-08
PKM,5.868993198837183e-08
RAMP1,5.962398724529951e-08
ZBED2,6.283181826146742e-08
F5,7.095570932995964e-08
COTL1,7.358453816126765e-08
MT-CO1,8.48003639090535e-08
P2RY14,8.865510448209371e-08
RPLP1,1.017888890197271e-07
SRGAP3,1.1163977277094275e-07
SYNGR2,1.223077068766061e-07
GPR56,1.290440455436774e-07
P2RY8,1.514128561838037e-07
RPL13A,1.517531766641106e-07
RPL27A,1.7857799484217477e-07
HLA-DPB1,1.848350904512e-07
TNFSF4,2.001264295490407e-07
LGALS1,2.1107322079970872e-07
AOAH,2.1538638328985124e-07
FKBP5,2.3309433904488885e-07
HLA-B,2.464147145240443e-07
SH3BGRL3,2.5698258255677933e-07
GGA1,2.6166578332965267e-07
WASH7P,2.8235247965967416e-07
BPGM,2.864993099976995e-07
FAM3C,3.1682852627535073e-07
FAIM3,3.18462231688078e-07
MT-TL1,3.198964607781188e-07
SIRPG,3.3108267981934746e-07
EOMES,3.483320271350365e-07
GPR183,3.552291928862848e-07
CDKN1A,4.093936906490647e-07
CXCR6,4.1055014445037136e-07
CCL5,4.1635381024035354e-07
OXNAD1,4.2004037355277187e-07
CTSH,4.450300396392503e-07
PIP5K1B,4.7100825721945026e-07
TMEM173,5.066710600165825e-07
PIM2-1,5.143866754369588e-07
CD3D,5.223023233307375e-07
PCED1B-AS1,5.456679833700672e-07
RPL13AP5,5.621842075320201e-07
STAP1,6.34485765831352e-07
RPL18AP3,6.728295161508792e-07
MIIP,7.389413174581511e-07
CSF2RB,7.513766122762301e-07
RP11-761N21.2,7.557307855315448e-07
PLAU,8.317314694268089e-07
SCML4,8.377248451758144e-07
KIR3DX1,9.255620831386424e-07
GAPDH,9.486783924095429e-07
ISG20,1.0348845902107971e-06
CAMK1D,1.1284187434851315e-06
CST7,1.1284819483199432e-06
FAM3C2,1.272209632264302e-06
RP11-543P15.1,1.4672771867251711e-06
ITGA4,1.5734207302155585e-06
ITGB2-AS1,1.9062503425196186e-06
MT-TF,2.060451682548275e-06
ATP1B1,2.084831258302768e-06
CDKN2B,2.377052084365489e-06
IL2RA,2.452742671864062e-06
DPYSL2,2.5652474749891025e-06
HNRNPA1,2.684356109002442e-06
RP11-1399P15.1,2.7736058486475377e-06
AC004453.8,3.0104094396219077e-06
TBC1D4,3.0296348311599592e-06
EIF1AY,3.080019466045973e-06
AGPAT9,3.4339241837456562e-06
SEMA4A,3.5982994945718184e-06
LDOC1-1,3.924245846760395e-06
ZFP36L1,4.1053573537445795e-06
EMP3,4.421757952163886e-06
ACTB,4.927350922290532e-06
DBN1,5.262370136466118e-06
CCDC141,5.510338014037978e-06
HNRNPH1,7.00697186066793e-06
TNFRSF1B,7.252652271897692e-06
NUDT14,7.277461560587105e-06
LGALS3,7.848372562242702e-06
DUSP4,8.619487200506558e-06
CLEC7A,8.708727589247427e-06
PRKAR1B,8.781921420609742e-06
APOBEC3G,9.136123850955967e-06
PTMAP5,9.362382492988918e-06
IL2RB,9.920967203510413e-06
FLNA-1,9.999299368904751e-06
AMICA1,1.0590585904968063e-05
RPL34,1.1122910627771307e-05
FADS2,1.1173276457431818e-05
IL24,1.1758548831054086e-05
RP11-51O6.1,1.1839567482923562e-05
KIF5B,1.1964903381922537e-05
KIAA1324,1.2281590911160835e-05
HLA-C,1.3240721408836267e-05
TNFRSF10B,1.3411209946056389e-05
CTNNB1,1.3852323862611715e-05
VDR,1.3901136632275722e-05
XBP1,1.408390665095352e-05
MIR155HG,1.4442294999753407e-05
RNF145,1.4511745124718307e-05
GPR171,1.515817949722564e-05
HMGN2P8,1.5255648030830117e-05
MXD1,1.5544290479242387e-05
TCTN3,1.56182932030032e-05
SLA2,1.58887716374567e-05
RPL3,1.6010008026823026e-05
APOL4,1.7488223653891904e-05
CTSC,1.8622146559141893e-05
HDAC9,1.95733895651654e-05
GYPC,2.1424089782740043e-05
MT-TN,2.1571081094175832e-05
LTB,2.404245992876697e-05
TLN1,2.467950520873382e-05
GNG8,2.6069793351973665e-05
RP11-81H14.2,2.7462034755340233e-05
PLIN2,2.780963188539471e-05
RPLP0P6,2.8874607669541498e-05
TNFSF10,2.8874977576860043e-05
RP11-14N7.2,2.9029627389734683e-05
LGALS8,2.9389711315863012e-05
GSTM4,2.9437411531226868e-05
CA6,2.998402493382118e-05
CSF2,3.1345841017363375e-05
CD86,3.1542356456533504e-05
MIR4435-1HG,3.246538703096138e-05
TIMD4,3.3301972302067816e-05
ATHL1,3.6180979718115374e-05
HIST1H2BK,3.876083119225085e-05
UCP2,3.930244529459312e-05
SPG20,4.135985359734013e-05
CERKL,4.1645956113487555e-05
ACTN1,4.225543705971643e-05
NCF1B,4.231362633960262e-05
DOK2,4.340782364642771e-05
PLEKHG2,4.44379865428312e-05
TESPA1,4.5998305625352245e-05
GDE1,4.606194547050753e-05
ZFAND5,4.650706205491334e-05
CNPY3,4.694277301046692e-05
ZDHHC14,4.7136144994371975e-05
FHL1,4.7932285649830586e-05
FXYD5,4.805355963122158e-05
PER3,4.8386987837708796e-05
SDC4,5.2188741466743834e-05
CXCR3,5.286885233060883e-05
RPS3A,5.3205027256059256e-05
ACTBP2,5.330532573037978e-05
STAT4,5.440123440499472e-05
CCND2,5.668960798695954e-05
CHRM3-AS2,5.755405932968831e-05
PLEK,6.278479536142993e-05
RPL39L,6.306978341202257e-05
JMJD4,6.421980870902824e-05
BTBD10,6.508455337892117e-05
GRN,6.711582730463117e-05
PORCN-1,6.780013698759025e-05
PDGFA,7.040014671149272e-05
RGCC,7.175423390491766e-05
CHST12,7.380348055777699e-05
ST6GAL1,7.409142396616253e-05
DUSP2,7.458093643598155e-05
LINC00892,7.606333214552255e-05
CCR5,7.771136062761016e-05
ADTRP,7.824004389073784e-05
C19orf12,7.868865206661909e-05
CCL4L1,8.030534490653927e-05
RPLP0,8.104543623035533e-05
FAM50B,8.370937755483926e-05
HLA-DRA,8.44454100929276e-05
LMNA,8.609636682379039e-05
NPDC1,8.665779550331866e-05
CLDND1,8.683215562392297e-05
MZB1,8.912550113348857e-05
RPL3P4,8.920039780160412e-05
APBB2,8.999791878232545e-05
FXYD7,9.023523622907323e-05
AKR1C3,9.104671393865366e-05
SDF4,9.18614829382537e-05
ACTA2,9.239170446692115e-05
PAG1,9.29443614793591e-05
NPTN,9.515705214376437e-05
TOX,9.691632014314738e-05
ACP5,9.779722052916698e-05
CPOX,9.849993839650504e-05
PIM1,0.00010439267991193354
RPL41,0.00010895854968709196
hsa-mir-6723,0.0001155470509515196
FADS1,0.00011872315859415721
OASL,0.00012213208381326246
APOBEC3H,0.00012488975404721894
HDGFRP3,0.00012593502273467615
CHID1,0.00012769277909672406
NCR3,0.00012915193751481736
H3F3A,0.00012970958164391493
YPEL5,0.0001319656001969362
ARPC2,0.0001387831633826595
STARD3NL,0.00014189604957369275
ARID5A,0.00014250484701220072
RPS18P12,0.00014700729377813306
KRAS,0.00014746260827966492
BIRC3,0.00015090055096489877
GLIPR2,0.0001538572121950091
HSP90AB1,0.0001559551850423903
BTG1,0.00015741750270014936
LBH,0.00016215938164948037
FURIN,0.00016271974300985473
NRP1,0.00016525717662028297
LINC00484,0.00016834986963441562
BATF,0.00017182194133124755
PFN1,0.00017363326602391397
MT-TP,0.00017415838072268994
KLRC4,0.00018003129856523494
MX1,0.00018015201398655415
ZNF24,0.00018160561588071778
TIGIT,0.00018175012517555856
EAF2,0.00018357434162745532
RPS3,0.000187193951681184
CD101,0.0001917395628463971
TP53TG1,0.0001964774671460305
AURKAIP1,0.00019717041226695564
MICAL2,0.00019781681638789982
GALNT2,0.0001981260500475264
NECAP2,0.00020110711239659988
PTPRCAP,0.00020293167223192692
RPL15,0.00020612513494823497
APOBEC3D,0.00020805286836787096
NDUFV2P1,0.00020950752658868116
PRSS23,0.00021255424413072087
CD55,0.00021893670924759038
SPOCK1,0.00022669244726445178
SEPT1,0.0002269389656358452
MT-TS2,0.00023226023232176247
CCDC109B,0.0002346193260672789
TNFSF8,0.00024585455392071414
CLIC3,0.0002472050077074674
CD3G,0.00025121148109731427
HOTAIRM1,0.00025574546549866336
SGSH,0.00025700837608024575
FAM49A,0.0002600086269099619
AFAP1L2,0.0002643641096053473
RNASEL,0.0002667340065682785
GAPDHP1,0.00027194565408482287
RPL10P3,0.0002773363041111966
DPYD,0.0002779961809457726
RNF213,0.00028197255139913427
RPS19P1,0.00028438671754612703
RAB3GAP1,0.0002908667988780888
SFXN2,0.0002929842630357034
MOXD1,0.0003030642715311412
OSTF1,0.0003042302338675861
ATP5EP2,0.0003117242421346844
PTPRN2,0.000314778257771876
PRF1,0.00031751372338402353
TSPAN13,0.0003221866527729488
TOP2A,0.00032474717659085355
FTSJ3,0.0003251154627531817
MCM6,0.00033040028877976665
SRRT,0.0003382972303713894
RP11-693N9.2,0.00034675254604235145
FTLP3,0.0003519941774970428
SHC4,0.00035201945573262267
FYN,0.00035309716724153087
RPL7,0.0003642316255103148
FLVCR2,0.0003643517912925483
CD8B,0.0003664188297922397
EID1,0.00038006997541556095
BHLHE40,0.00039886162499422616
RMND5A,0.00039898610445900437
RPS27L,0.0004003116733445527
RHOC,0.00040580837495983577
SLCO4A1,0.0004146563981506089
RPL31,0.00041949824103767856
RP11-465B22.3,0.00042298503071364806
MCM9,0.00042667553086637685
TMEM109,0.0004273209176565299
ENPP6,0.000431423974529342
RNU1-60P,0.0004336029285410367
INPP5B,0.00043705516347440935
CDK2AP2,0.0004395813106069348
PRSS21,0.0004490413224193403
LYRM2,0.0004560544596475531
SCYL3,0.0004579217277542921
CD79B,0.00047504829392162103
USP11,0.0004970676609287527
P2RX7,0.0005019192112936681
PIK3AP1,0.0005056311299510095
CTSA,0.0005282130187383337
MT-TH,0.0005302628620505298
ITGB2,0.000535985642117767
NT5C3B,0.0005438374458135707
DUSP6,0.0005616943449701598
SFXN1,0.0005652681281214358
MVP,0.0005816417532357136
OPTN,0.0005847686847747065
IFITM10,0.0005873179396839562
GMFG,0.0005908815692243659
PCYOX1L,0.0005920631527421319
WBP1L,0.0006124108928639561
RPL7P9,0.0006130427651917075
GCLM,0.0006175547141865495
POU2F2,0.0006285742996422376
FTH1,0.0006343503325127331
C1orf50,0.0006380036598011142
SDHAP1,0.0006383669154207068
RP11-778D9.4,0.0006753572268129553
SEPT6,0.000679464932293225
MYO5A,0.0006878886121320184
CASC7,0.0006958268287008921
ITM2B,0.0007062133345342806
CD74,0.0007124784883115851
PARVG,0.0007243943341480675
RPS11,0.0007375231712223432
CD83,0.0007454187783132906
PAX8-AS1,0.0007564483893523095
SLC25A6,0.0007813263635028737
KLHL18,0.0007866148346488501
HNRNPA1P48,0.0007957165535185083
ANXA11,0.000828669007390848
DDX52,0.0008432067996710231
SPN,0.0008519586791186633
ALDOC,0.0008635008316888251
LCP1,0.0008721472897078848
ARSG,0.0008776471762974276
MTSS1,0.0008844302083969042
IL16,0.0008883819822560684
ANP32E,0.0008911539701920545
HHEX,0.0008933475008934963
CCDC74A,0.0009191621852376596
HS3ST3B1,0.0009250299450454304
NAALADL1,0.0009276010023416386
SURF1,0.0009340699355773361
EZH2,0.0009456197166237935
DPAGT1,0.00094948888146815
H2AFZ,0.0009630812086291338
DDIT4,0.0009728931809325885
AAK1,0.000987411765291758
GIMAP4,0.0009928107233600446
PNP,0.0009986416945359782
C14orf64,0.001000353581851463
ARHGEF2,0.0010045061783761494
UPP1,0.0010322673444399782
MTATP6P1,0.0010340794400476067
HCST,0.0010480635113299447
C16orf54,0.001053280073068583
MBD2,0.0010828347889360152
SLC39A3,0.0010857541324363956
PIM3,0.0011191196180892165
RPL22L1,0.0011192498596857112
MANF,0.0011310711597538664
WDR59,0.0011632877669747338
SERF2,0.0011800950544079017
RP11-501C14.9,0.001183206690116163
