,TSS R2,Enhancer R2
ENO1,0.0,0.20178794860839844
CA6,0.0,0.13033989071846008
RP3-510D11.1,0.0,0.1245938166975975
RP3-510D11.2,0.008235936984419823,0.0
PIK3CD,0.0265194121748209,0.10832630097866058
RP11-558F24.4,0.013165224343538284,0.06472958624362946
CLSTN1,0.22457507252693176,0.3385283946990967
LZIC,0.03611500561237335,0.0
RP11-84A14.4,0.0,0.2565043866634369
NMNAT1,0.0,0.22393961250782013
UBE4B,0.07163984328508377,0.0
KIF1B,2.1439154807012528e-05,0.15611159801483154
PGD,0.08649522066116333,0.664825439453125
APITD1,0.009628322906792164,0.02435828559100628
DFFA,0.03480319678783417,0.11460389196872711
PEX14,0.0,0.24600476026535034
TARDBP,0.21929186582565308,0.0
RP4-635E18.8,0.0,0.40187838673591614
SRM,0.029326587915420532,0.06299689412117004
EXOSC10,0.0,0.1692339926958084
RP4-635E18.6,0.24636349081993103,0.11368481814861298
MTOR,0.0004873556026723236,0.046518370509147644
UBIAD1,0.002486184937879443,0.26141947507858276
FBXO2,0.0,0.32990196347236633
FBXO44,0.005404933821409941,0.05614291876554489
FBXO6,0.15134067833423615,0.12311888486146927
MAD2L2,0.3627520501613617,0.19868245720863342
DRAXIN,0.0,0.1782635599374771
AGTRAP,0.0,0.1913488656282425
CLCN6,0.0,0.12123414874076843
PLOD1,0.057128533720970154,0.37912517786026
MFN2,0.05816908925771713,0.09128686785697937
MIIP,0.023072589188814163,0.03271569684147835
TNFRSF1B,0.0,0.2179858386516571
VPS13D,0.0,0.14939257502555847
DHRS3,0.0,0.00040715685463510454
PRDM2,0.06107578054070473,0.2233487367630005
EFHD2,0.1648435890674591,0.11516650021076202
CASP9,0.080636166036129,0.13934586942195892
DNAJC16,0.010697557590901852,0.09504642337560654
AGMAT,0.0,0.11110471934080124
DDI2,0.0345054566860199,0.13968734443187714
PLEKHM2,0.04683540016412735,0.0
RP11-169K16.7,0.0,0.09186532348394394
RP11-169K16.9,0.016051677986979485,0.09075804799795151
SPEN,0.0,0.42770832777023315
ZBTB17,0.0,0.2081979662179947
C1orf134,0.0,0.06559155881404877
FBXO42,0.5827369093894958,0.0926535502076149
SZRD1,0.11931063234806061,0.0018379276152700186
NECAP2,0.0,0.34359467029571533
NBPF1,0.0,0.09611714631319046
CROCCP2,0.0,0.010539161041378975
EIF1AXP1,0.0,0.0
ATP13A2,1.943455390573945e-05,0.005076226778328419
SDHB,0.0428784154355526,0.0
RCC2,0.09023381769657135,0.0
UBR4,0.008297317661345005,0.06314398348331451
EMC1,0.010921616107225418,0.0
MRTO4,0.0,0.15114916861057281
AKR7A2,0.03178587183356285,0.0
PQLC2,0.0,0.09560684114694595
CAPZB,0.0005488810711540282,0.12695996463298798
MINOS1,0.016415763646364212,0.0
NBL1,0.0008605198236182332,0.12389329820871353
TMCO4,0.06354525685310364,0.09243752062320709
OTUD3,0.0,0.048321522772312164
UBXN10-AS1,0.0,0.0013629834866151214
MUL1,0.0,0.13014087080955505
DDOST,0.032908402383327484,0.09292536973953247
HP1BP3,0.004437458235770464,0.0
EIF4G3,0.0,0.08070134371519089
RPS15AP6,0.0,0.08200778067111969
ECE1,0.08308419585227966,0.1831442266702652
NBPF3,0.0,0.03998998925089836
USP48,0.10545234382152557,0.1607995629310608
LINC00339,0.032494693994522095,0.05928512662649155
CDC42,0.002339019440114498,0.11036861687898636
ZBTB40,0.0,0.021309908479452133
KDM1A,0.0,0.1335165649652481
LUZP1,0.0,0.12097596377134323
HNRNPR,0.06864872574806213,0.0
ID3,0.06440359354019165,0.5019460916519165
RPL11,0.2926506996154785,0.0
TCEB3,0.005259864963591099,0.0
RP5-886K2.3,0.11655204743146896,0.09316720068454742
PITHD1,0.0,0.10113584250211716
LYPLA2,0.0004602692788466811,0.09081462025642395
GALE,0.002902794862166047,0.39673441648483276
HMGCL,0.03522812947630882,0.016809897497296333
FUCA1,0.0021649154368788004,0.0
PNRC2,0.011704395525157452,0.0
SRSF10,0.08356861770153046,0.0
IFNLR1,0.02211887016892433,0.0451066717505455
NIPAL3,0.01499710138887167,0.15201659500598907
RCAN3,0.03233800455927849,0.28937652707099915
SRRM1,0.0508277527987957,0.0
RUNX3,0.04417302459478378,0.20416241884231567
SYF2,0.07866819202899933,0.16053132712841034
C1orf63,0.006914469879120588,0.141582652926445
TMEM50A,0.01901772804558277,9.252301970263943e-05
TMEM57,8.831528248265386e-05,0.0
MTFR1L,0.0,0.27127790451049805
STMN1,0.0005176603444851935,0.0071847811341285706
PAFAH2,0.06556390225887299,0.06775539368391037
PDIK1L,0.010499690659344196,0.06976713985204697
CEP85,0.0,0.06831871718168259
SH3BGRL3,0.0028350455686450005,0.05893927812576294
UBXN11,0.030393492430448532,0.1789097636938095
CD52,0.2440636307001114,0.4212689995765686
DHDDS,0.06359118223190308,0.0930163711309433
HMGN2,0.09803113341331482,0.0020423352252691984
RPS6KA1,0.027000952512025833,0.1095198318362236
ARID1A,0.0001402197958668694,0.14733999967575073
PIGV,0.18201521039009094,0.05497172102332115
ZDHHC18,0.26325279474258423,0.2554031312465668
GPN2,0.07639972865581512,0.5360267758369446
GPATCH3,0.15061482787132263,0.13972708582878113
NUDC,0.20622560381889343,0.014620901085436344
SLC9A1,0.17943502962589264,0.11868879944086075
TMEM222,0.0019417325966060162,0.0
SYTL1,0.06533067673444748,0.00255974312312901
MAP3K6,0.3978964686393738,0.2644694149494171
WASF2,0.1558222621679306,0.0054491860792040825
RP1-159A19.3,0.0,0.04135621339082718
IFI6,0.05237136408686638,0.0748673528432846
FAM76A,0.010361586697399616,0.0
STX12,0.0018204371444880962,0.010509075596928596
PPP1R8,0.01788693107664585,0.0
THEMIS2,0.0,0.13252973556518555
RPA2,0.0008667793590575457,0.011637108400464058
EYA3,0.0,0.08202426880598068
RN7SL559P,0.0,0.0
SPCS2P4,0.0,0.0
DNAJC8,0.0,0.020009499043226242
AL353354.1,0.0,0.12397903949022293
ATPIF1,0.0,0.35517972707748413
RP5-1092A3.4,0.0,0.22089055180549622
SESN2,0.11140412837266922,0.1385876089334488
PHACTR4,0.0,0.0789714977145195
SNHG3,0.00021922324958723038,0.0
TRNAU1AP,0.00020309150568209589,0.20226560533046722
SNHG12,1.2248800885572564e-05,0.0
SNORD99,0.0,0.11564469337463379
TAF12,0.050244759768247604,0.03543660044670105
GMEB1,0.0,0.1782049685716629
YTHDF2,0.004440321121364832,0.0
EPB41,0.0,0.15024864673614502
RP4-604A21.1,0.0,0.0
SRSF4,0.0,0.16024380922317505
MECR,0.007955147884786129,0.009859167039394379
LAPTM5,0.0,0.13171488046646118
PUM1,0.0,0.22142484784126282
SNRNP40,0.0,0.055601637810468674
RP11-490K7.4,0.0,0.17144829034805298
ZCCHC17,0.08139081299304962,0.1710827648639679
PEF1,0.0,0.28676068782806396
PTP4A2,0.2457582652568817,0.359843909740448
KHDRBS1,0.0,0.13624152541160583
TMEM39B,0.019085658714175224,0.0
KPNA6,0.0,0.2128935605287552
TXLNA,0.1279444396495819,0.04737090319395065
CCDC28B,0.004599457141011953,0.02656479924917221
TMEM234,0.002229101490229368,0.26018595695495605
EIF3I,0.0,0.0833037719130516
LCK,0.08224184811115265,0.13969920575618744
HDAC1,0.24205800890922546,0.10064034909009933
BSDC1,0.4682239890098572,0.20887130498886108
ZBTB8OS,1.816227268136572e-05,0.00953630544245243
RBBP4,0.0,0.11952542513608932
YARS,0.018995996564626694,0.04962927848100662
S100PBP,0.103390172123909,0.1440052092075348
AL031602.1,0.0,0.0
RNF19B,0.005461237393319607,0.02696099691092968
AK2,0.009256061166524887,0.2305309921503067
ADC,0.01276423130184412,0.19950956106185913
TRIM62,0.0,0.2013782113790512
SMIM12,0.01269689854234457,0.16114678978919983
ZMYM6,0.03379272669553757,0.03228910639882088
ZMYM1,0.006922661792486906,0.039050549268722534
SFPQ,0.0,0.011639650911092758
ZMYM4,0.22141756117343903,0.0
ZMYM4-AS1,0.0,0.0
KIAA0319L,6.8098402152827475e-06,0.8263384103775024
NCDN,0.0,0.14567780494689941
RP4-728D4.2,3.6530778743326664e-05,0.2200036644935608
TFAP2E,0.0,0.18321119248867035
PSMB2,0.0,0.2767099440097809
C1orf216,0.05344318598508835,0.0
AGO4,0.0,0.2485305815935135
AGO1,0.0,0.05687522143125534
AGO3,0.11577785760164261,0.05283244326710701
ADPRHL2,0.0,0.0
MAP7D1,0.0,0.0
THRAP3,0.0,0.02708541415631771
EVA1B,0.0,0.00038517473149113357
STK40,0.0014034474734216928,0.11838538944721222
LSM10,0.0,0.09067918360233307
MRPS15,0.009566796012222767,0.008210896514356136
LINC01137,0.0,0.3169235289096832
ZC3H12A,0.03853079304099083,0.07869220525026321
MEAF6,0.010160242207348347,0.06474904716014862
SNIP1,0.004696331452578306,0.1395394653081894
RP3-423B22.5,0.0,0.02549356035888195
GNL2,0.010383393615484238,0.008121883496642113
C1orf109,0.004736665170639753,0.0
C1orf122,0.0,0.1229858249425888
MTF1,0.0,0.12249699234962463
INPP5B,0.0,0.1015424057841301
SF3A3,0.08391138166189194,0.026721173897385597
FHL3,0.0,0.17200301587581635
UTP11L,0.036711979657411575,0.3321893811225891
RRAGC,0.0,0.22582098841667175
RP5-864K19.4,0.008757147938013077,0.1090923622250557
MYCBP,0.1514909714460373,0.01046056393533945
AKIRIN1,0.016295509412884712,0.04257863014936447
NDUFS5,0.0,0.20359963178634644
MACF1,0.11665920913219452,0.1429044008255005
RP11-420K8.1,0.0,0.0
RP11-69E11.4,0.18199710547924042,0.019077593460679054
PABPC4,0.07938717305660248,0.0020069025922566652
PPIE,0.012512115761637688,0.026567650958895683
TRIT1,0.10202674567699432,0.10974167287349701
CAP1,0.027401886880397797,0.11224543303251266
PPT1,0.013491285964846611,0.0
RLF,0.0,0.1300722062587738
RP1-39G22.7,0.0,0.026997558772563934
ZMPSTE24,0.0009457426494918764,0.06036996841430664
SMAP2,0.1437527984380722,0.24964265525341034
RP1-228H13.5,0.0,0.19460013508796692
EXO5,0.09323347359895706,0.022447362542152405
ZNF684,0.07598043978214264,0.14130757749080658
NFYC,0.03256452456116676,0.00318142119795084
CTPS1,0.0017420111689716578,0.0021866681054234505
SCMH1,0.14213605225086212,0.0
FOXJ3,0.0770890936255455,0.0
PPCS,0.09367561340332031,0.012193635106086731
TMSB4XP1,0.0,0.0
PPIH,0.05024834722280502,0.0
YBX1,0.09732871502637863,0.017901701852679253
LEPRE1,0.11903335154056549,0.0
C1orf50,0.0,0.003223732579499483
CCDC23,0.0,0.0017846967093646526
ZNF691,0.0,0.05927928537130356
SLC2A1,0.002617364749312401,0.04907795786857605
EBNA1BP2,0.0,0.024202238768339157
ELOVL1,0.04313376173377037,0.035440027713775635
MED8,0.0,0.048087019473314285
SZT2,0.009625636041164398,0.07173772156238556
KDM4A,0.008255088701844215,0.0008521726704202592
RP11-7O11.3,0.0,0.2136859893798828
IPO13,0.0035413894802331924,0.03850654885172844
ATP6V0B,0.00029919238295406103,0.14052362740039825
DMAP1,0.0017681282479315996,0.0
ERI3,0.010447170585393906,0.0
RNF220,0.1095573678612709,0.09137823432683945
TMEM53,0.00971983838826418,0.18152229487895966
RNU5F-1,0.07135418057441711,0.19215677678585052
KIF2C,0.16767877340316772,0.03050491213798523
RPS8,0.0,0.11947652697563171
PLK3,0.21518272161483765,0.21713712811470032
EIF2B3,0.1418122500181198,0.0
HECTD3,0.0,0.21852679550647736
UROD,0.23645475506782532,0.08457095175981522
MUTYH,0.0299697108566761,0.005911493208259344
TOE1,0.0,0.1286832094192505
TESK2,0.1868303120136261,0.39993900060653687
CCDC163P,0.03731061890721321,0.1678466647863388
PRDX1,0.3175875246524811,0.04954305663704872
AKR1A1,0.0010378309525549412,0.08653740584850311
NASP,0.0,0.11129805445671082
GPBP1L1,0.0,0.03838574141263962
TMEM69,0.20237834751605988,0.0
IPP,0.04351276531815529,0.0
PIK3R3,0.08664655685424805,0.0
POMGNT1,0.31959474086761475,0.0
LRRC41,0.0,0.04613339528441429
UQCRH,0.023032791912555695,0.0
NSUN4,0.19361990690231323,0.3960956931114197
MKNK1,0.02744271606206894,0.012909223325550556
MOB3C,0.013354290276765823,0.4480257034301758
ATPAF1,0.0003290765453130007,0.0
EFCAB14,0.08219802379608154,0.07650119811296463
CMPK1,0.0,0.36291003227233887
FAF1,0.0,0.1483442783355713
CDKN2C,0.015883931890130043,0.3922874927520752
RNF11,0.0,0.001106796320527792
EPS15,0.0,0.07641236484050751
OSBPL9,0.24441367387771606,0.02231465093791485
NRD1,0.23708400130271912,0.0
TXNDC12,0.0,0.009716492146253586
KTI12,0.0,0.3022391200065613
BTF3L4,0.10005242377519608,0.17845116555690765
CC2D1B,0.012340952642261982,0.0
PRPF38A,0.45135363936424255,0.0510980524122715
ZCCHC11,0.0005271464469842613,0.08074253052473068
GPX7,0.0,0.5856716632843018
FAM159A,0.4906615912914276,0.3264361619949341
COA7,0.0,0.2524776756763458
ECHDC2,0.1615600734949112,0.07011257857084274
SCP2,0.014001026749610901,0.023977868258953094
CPT2,0.003696562722325325,0.0
C1orf123,0.1836029291152954,0.12118120491504669
MAGOH,0.0062096137553453445,0.15213818848133087
LRP8,0.0,0.11163149774074554
NDC1,0.003291930304840207,0.013666171580553055
YIPF1,0.030882664024829865,0.0
HSPB11,0.0,0.004125761333853006
LRRC42,0.17937257885932922,0.0
TMEM59,0.032914724200963974,0.0
TCEANC2,0.0,0.08275607973337173
MRPL37,0.0,0.3037683069705963
SSBP3,0.3096730411052704,0.1748826801776886
PARS2,0.00013301581202540547,0.1585312783718109
TTC22,0.03609989210963249,0.00885548535734415
USP24,0.0030687565449625254,0.0526464469730854
RP11-101C11.1,0.0,0.0015832269564270973
RPS26P15,0.0,0.0
OMA1,0.0,0.03615773841738701
MYSM1,0.0,0.010878458619117737
RP4-794H19.4,0.16583208739757538,0.019635451957583427
FGGY,0.1404634267091751,0.10843155533075333
TM2D1,0.08979186415672302,0.1906437873840332
USP1,0.0,0.0054453588090837
ATG4C,0.08090891689062119,0.0
ALG6,0.0,0.33351194858551025
ITGB3BP,0.11070558428764343,0.11269891262054443
EFCAB7,0.0,0.23416805267333984
PGM1,0.08488057553768158,0.0
JAK1,0.0,0.10393734276294708
MIR3671,0.0,0.0014733612770214677
MIR101-1,0.0,0.01015746034681797
LEPROT,0.0,0.08365292102098465
PDE4B,0.019473662599921227,0.30603381991386414
MIER1,0.0,0.04206569120287895
SLC35D1,0.36950671672821045,0.0
IL12RB2,0.07717707753181458,0.2885560691356659
SERBP1,0.03747708350419998,0.0
GADD45A,0.0,0.06294307857751846
LRRC40,0.0,0.07902806997299194
SRSF11,0.11568791419267654,0.0
ANKRD13C,0.0,0.23103365302085876
HHLA3,0.009931989945471287,0.0
ZRANB2,0.004366511944681406,0.0
MIR186,0.0,0.08687180280685425
ZRANB2-AS2,0.0,0.2415481060743332
LRRIQ3,0.0,0.2333509624004364
FPGT,0.0,0.013522282242774963
CRYZ,0.11623556911945343,0.0
TYW3,0.0,0.008738803677260876
ACADM,0.020056894049048424,0.49846920371055603
RABGGTB,0.04938938468694687,0.012361315079033375
TPI1P1,0.0,0.0
PIGK,0.0136040560901165,0.0
ZZZ3,0.0006671001319773495,0.0
USP33,0.09597556293010712,0.01086583361029625
FAM73A,0.0,0.05512788146734238
HSPE1P25,0.0,0.0
FUBP1,0.0,0.13918492197990417
DNAJB4,0.03451228886842728,0.057473789900541306
RP11-386I14.4,0.0,0.11668302863836288
IFI44L,0.0,0.1837557554244995
IFI44,0.0,0.31854110956192017
PRKACB,0.0001355488202534616,0.024833988398313522
RP11-82H13.2,0.0,0.0
RPF1,0.0,0.0346597321331501
GNG5,0.0,7.321002613025485e-06
SPATA1,0.1935168206691742,0.05801216885447502
CTBS,0.0,0.18293306231498718
SSX2IP,0.008922223933041096,0.0
MCOLN2,0.0,0.5323762893676758
MCOLN3,0.0,0.132278174161911
C1orf52,0.17716214060783386,0.30617856979370117
BCL10,0.0,0.20052114129066467
ZNHIT6,0.0,0.10671468824148178
ODF2L,0.09699464589357376,0.29644975066185
RP4-612B15.3,0.0,0.14057983458042145
SH3GLB1,0.006640705745667219,0.0
SEP15,0.0,0.007789983414113522
HS2ST1,0.001748373149894178,0.0
LMO4,0.0036191598046571016,0.40731558203697205
PKN2,0.07455707341432571,0.0
GTF2B,0.003215676173567772,0.16647997498512268
CCBL2,0.004052476491779089,4.421129051479511e-05
RBMXL1,0.0,0.04354507476091385
GBP3,0.0,0.05905584245920181
GBP1,0.0,0.024847717955708504
PTGES3P1,0.0,0.008906429633498192
GBP2,0.0009720542002469301,0.0022783116437494755
GBP4,0.01481266226619482,0.0
GBP5,0.09464423358440399,0.02025573141872883
LRRC8B,0.0,0.02168085426092148
LRRC8C,0.033208005130290985,0.27700093388557434
LRRC8D,0.0,0.213153675198555
ZNF326,0.0,0.07745690643787384
ZNF644,0.04498656094074249,0.0
CDC7,0.0008339493069797754,0.0
TGFBR3,0.0,0.40280890464782715
GLMN,0.0008415020420216024,0.3516963720321655
RPAP2,0.0,0.10117729753255844
GFI1,0.0,0.02434012107551098
RPL5,0.2143324613571167,0.03689374402165413
FAM69A,0.029146522283554077,0.21495072543621063
MTF2,0.02278992347419262,0.013867245987057686
TMED5,0.0,0.07992085814476013
CCDC18,0.09427417069673538,0.31921374797821045
RP4-717I23.3,0.015142081305384636,0.0
DR1,0.0,0.027940573170781136
DNTTIP2,0.0,0.003877089126035571
GCLM,0.03955112770199776,0.0
ABCD3,0.0017799612833186984,0.0
ALG14,0.053540799766778946,0.0
RWDD3,0.18426449596881866,0.0
RPL7P9,0.0,0.0003578505711629987
PTBP2,4.321229425841011e-06,0.0
DPYD,0.1777145266532898,0.04723936691880226
SLC35A3,0.1222807988524437,0.10751987248659134
HIAT1,0.0,0.038920141756534576
SASS6,0.0,0.013741908594965935
TRMT13,0.09278237819671631,0.0
DBT,0.010831650346517563,0.12112757563591003
RP11-305E17.6,0.0035236217081546783,0.0
RTCA,0.0,0.16065198183059692
CDC14A,0.021780669689178467,0.11461017280817032
EXTL2,0.0,0.018291575834155083
SLC30A7,0.004587110131978989,0.07368415594100952
DPH5,0.0808233916759491,0.0
RP11-421L21.3,0.07100741565227509,0.1500214785337448
S1PR1,0.5562397241592407,0.31356576085090637
RNPC3,0.009827944450080395,0.0
PRMT6,0.0,0.06755800545215607
RP11-270C12.3,0.0,0.0
VAV3,0.19550257921218872,0.02990482747554779
SLC25A24,0.0016004362842068076,0.0
FAM102B,0.0,0.17566698789596558
HENMT1,0.00030868599424138665,0.3939172327518463
PRPF38B,0.0,0.272387832403183
STXBP3,0.0,0.5267491936683655
GPSM2,0.01690639555454254,0.0
CLCC1,0.02288118004798889,0.03335327282547951
WDR47,0.0025803567841649055,0.001335149398073554
TAF13,0.0019887289963662624,0.21111737191677094
TMEM167B,0.005094011779874563,0.23530857264995575
SCARNA2,0.21015624701976776,0.1542191058397293
SARS,0.0,0.008567440323531628
PSMA5,0.04963685944676399,0.00285343243740499
CYB561D1,0.23261301219463348,0.05811317265033722
GNAI3,0.016937488690018654,0.06037498638033867
GNAT2,0.0,0.007127624005079269
AMPD2,0.19559256732463837,0.0
GSTM4,0.058781906962394714,0.23444023728370667
GSTM2,0.3678816258907318,0.06170104444026947
GSTM3,0.25678732991218567,0.025720875710248947
CSF1,0.006609658244997263,0.11594923585653305
AHCYL1,0.0014945835573598742,0.0
STRIP1,0.0,0.08561739325523376
SLC16A4,0.0,0.10020101070404053
LAMTOR5,0.0,0.051086291670799255
KCNA3,0.0,0.06394460797309875
CD53,0.08332259207963943,0.03459906578063965
LRIF1,0.0,0.051926448941230774
DRAM2,0.2501893937587738,0.0
CEPT1,0.0,0.0156465545296669
DENND2D,0.11951283365488052,0.15217794477939606
CHI3L2,0.0,0.16222195327281952
WDR77,0.0,0.08420662581920624
ATP5F1,0.046239856630563736,0.0
C1orf162,0.0,0.152974471449852
RAP1A,0.0,0.2287442684173584
LINC01160,0.0,0.09881711006164551
RNU6-151P,0.0,0.0
DDX20,0.0,0.09962144494056702
ST7L,0.0858132466673851,0.0
CAPZA1,0.0,0.03742710128426552
MRPL53P1,0.0,0.00554650416597724
MOV10,0.0,0.04487094655632973
RHOC,0.15805445611476898,0.2785872220993042
SLC16A1,0.0009350255131721497,0.0
SLC16A1-AS1,0.0,0.006198597606271505
LRIG2,0.11209356039762497,0.133271262049675
PHTF1,0.00925651378929615,0.0
RSBN1,0.0,0.3749285042285919
PTPN22,0.019148794934153557,0.2962273359298706
AP4B1,0.04971231520175934,0.01528544444590807
HIPK1,0.0,0.18374720215797424
TRIM33,0.007091764826327562,0.0
BCAS2,0.024767957627773285,0.0
NRAS,0.0,0.1438576877117157
CSDE1,0.0,0.12150519341230392
SIKE1,0.011501767672598362,0.0
VANGL1,0.014319301582872868,9.929173393175006e-05
ATP1A1,0.029276782646775246,0.1765929013490677
ATP1A1OS,0.06542393565177917,0.22937142848968506
CD58,0.0,0.09194759279489517
CD2,0.13351893424987793,0.44584429264068604
FTH1P22,0.0,0.10068340599536896
CD101,0.0,0.2177535593509674
TTF2,0.0034832190722227097,0.2276298850774765
MAN1A2,0.0005088172038085759,0.0
FAM46C,0.0,0.3069921135902405
GDAP2,0.0,0.0578499510884285
WDR3,0.0018613259308040142,0.0
WARS2,0.0,0.21011745929718018
REG4,0.0,0.5930030345916748
NOTCH2,0.0,0.019718870520591736
RP11-343N15.5,0.0,0.013308857567608356
RP11-435B5.4,0.0,0.0
RP6-206I17.1,0.0,0.029589472338557243
SRGAP2B,0.0,0.18757332861423492
RNU1-59P,0.008443045429885387,0.1276763528585434
RP11-640M9.2,0.0,0.124673992395401
PDE4DIP,0.005093242507427931,0.3260630965232849
RNU2-38P,0.0,0.0202239528298378
SEC22B,0.0,0.013517703860998154
NOTCH2NL,0.0,0.30976027250289917
TXNIP,0.0009354091016575694,0.5716458559036255
POLR3GL,0.07978174835443497,0.08897488564252853
RP11-315I20.1,0.0,0.17735803127288818
LIX1L,0.0,0.04584832489490509
RBM8A,0.002501146402209997,0.040222372859716415
PEX11B,0.0,0.11761896312236786
ANKRD35,0.09304138273000717,0.06663764268159866
PIAS3,0.20635990798473358,0.014586818404495716
NUDT17,0.3828302025794983,0.40697434544563293
POLR3C,0.39346545934677124,0.29229262471199036
RNF115,0.0,0.12117817997932434
GPR89A,0.05292623117566109,0.0
PRKAB2,0.0,0.0016330223297700286
RP11-337C18.8,0.0,0.11911564320325851
PDIA3P1,0.0,0.05297406390309334
CHD1L,0.0,0.01596604287624359
ACP6,1.8517879652790725e-05,0.25333207845687866
GPR89B,0.0,0.03267467021942139
RNVU1-13,0.0,0.12554943561553955
NBPF14,0.0,5.426226198324002e-05
RNVU1-14,0.0,0.03930729627609253
RP11-14N7.2,0.0,0.0
RP11-403I13.8,0.0,0.0
RNVU1-19,0.0,0.0
RNVU1-20,0.0,0.0966910794377327
HIST2H2AC,0.0,0.015225054696202278
BOLA1,0.0,0.47234469652175903
SF3B4,0.01135927066206932,0.0
OTUD7B,0.0,0.11891278624534607
VPS45,0.06548270583152771,0.0010504996171221137
PLEKHO1,0.04417862743139267,0.015102829784154892
ANP32E,0.11558010429143906,0.12047455459833145
C1orf54,0.0,0.07358497381210327
MRPS21,0.07213453948497772,0.010868573561310768
PRPF3,1.481416234128119e-06,0.072207972407341
RPRD2,0.0352768674492836,0.04027169197797775
TARS2,0.023345375433564186,0.0
LINC00568,0.00365451630204916,0.06446131318807602
MCL1,0.004412091802805662,0.0058847032487392426
ENSA,0.05763440579175949,5.127352324052481e-06
GOLPH3L,0.015831170603632927,0.0
CTSS,0.009781993925571442,0.0
ARNT,0.2841133773326874,0.001950194826349616
SETDB1,0.012037455104291439,0.022007284685969353
CERS2,0.0038818372413516045,0.026989685371518135
FAM63A,0.0,0.04756985604763031
PRUNE,0.05202791094779968,0.0555528923869133
C1orf56,0.009039919823408127,0.042828403413295746
CDC42SE1,0.0859745517373085,0.40592265129089355
MLLT11,0.0,0.04459992051124573
GABPB2,0.0,0.20687732100486755
TNFAIP8L2,0.0,0.04438814893364906
SCNM1,0.007870158180594444,0.15957780182361603
LYSMD1,0.0,0.007711108308285475
VPS72,0.0008193996036425233,0.2407480627298355
PSMD4,0.0,4.1151219193125144e-05
PI4KB,8.166641123352747e-07,0.01566820964217186
RFX5,0.16039903461933136,0.0
RP11-126K1.6,0.0,0.27054673433303833
PSMB4,0.026749160140752792,0.0
POGZ,0.0,0.19624310731887817
SNX27,0.0,0.5781576037406921
MRPL9,0.12804479897022247,0.003327128477394581
TDRKH,0.022842494770884514,0.10557658970355988
THEM4,0.059445466846227646,0.09675608575344086
S100A10,0.05745028331875801,0.13041457533836365
S100A11,0.000677556439768523,0.18077878654003143
S100A9,0.0,0.0
S100A6,0.11381787806749344,0.298767626285553
S100A5,0.0,0.28280651569366455
S100A4,0.028238235041499138,0.06506115943193436
CHTOP,0.0,0.0010381097672507167
SNAPIN,0.019396163523197174,0.17996272444725037
ILF2,0.04727593809366226,0.031058551743626595
INTS3,0.011415302753448486,0.13534002006053925
SLC27A3,0.08111580461263657,0.020774610340595245
GATAD2B,0.11816173046827316,0.09669982641935349
