PeakID,PeakID,chr,end,in_ensg,in_gene,itype,mid,start
Interval_31872,Interval_31872,17,78653560,ENSG00000141564,RPTOR,intron,78652987.0,78652414
Interval_18906,Interval_18906,13,22689382,None,nan,Intergen,22689091.0,22688800
Interval_67350,Interval_67350,7,5184480,ENSG00000159904,ZNF890P,exon,5183985.0,5183490
Interval_62202,Interval_62202,6,10733998,None,nan,Intergen,10733516.5,10733035
Interval_43913,Interval_43913,20,29525360,None,nan,Intergen,29524526.5,29523693
Interval_42609,Interval_42609,2,224747118,ENSG00000085449,WDFY1,intron,224746867.0,224746616
Interval_59738,Interval_59738,5,106600622,None,nan,Intergen,106599765.0,106598908
Interval_71334,Interval_71334,7,157205123,ENSG00000105993,DNAJB6,exon,157204598.0,157204073
Interval_44139,Interval_44139,20,33883275,None,nan,Intergen,33883034.5,33882794
Interval_46892,Interval_46892,22,32601250,ENSG00000242082,RP1-90G24.10,promoter-TSS,32600708.5,32600167
Interval_39097,Interval_39097,2,88328032,ENSG00000172086,KRCC1,exon,88327677.5,88327323
Interval_58772,Interval_58772,5,66812076,ENSG00000249364,RP11-434D9.1,intron,66811371.0,66810666
Interval_75016,Interval_75016,9,5327689,None,nan,Intergen,5327182.0,5326675
Interval_74643,Interval_74643,8,142413365,ENSG00000184489,PTP4A3,intron,142412998.5,142412632
Interval_20547,Interval_20547,13,98236786,None,nan,Intergen,98236358.0,98235930
Interval_31904,Interval_31904,17,78875729,ENSG00000141564,RPTOR,intron,78875172.5,78874616
Interval_71770,Interval_71770,8,19540497,ENSG00000147408,CSGALNACT1,promoter-TSS,19540114.5,19539732
Interval_52878,Interval_52878,3,191048057,ENSG00000188958,UTS2B,promoter-TSS,191047238.0,191046419
Interval_46078,Interval_46078,21,45905979,ENSG00000228709,AP001065.15,exon,45905561.0,45905143
Interval_67350,Interval_67350,7,5184480,ENSG00000159904,ZNF890P,exon,5183985.0,5183490
Interval_48448,Interval_48448,3,27387351,ENSG00000163491,NEK10,intron,27387192.0,27387033
Interval_7119,Interval_7119,1,243265559,ENSG00000214837,RP11-261C10.3,promoter-TSS,243265082.0,243264605
Interval_45245,Interval_45245,21,9964920,ENSG00000188681,TEKT4P2,intron,9964691.0,9964462
Interval_78243,Interval_78243,X,9338651,None,nan,Intergen,9338137.0,9337623
Interval_54715,Interval_54715,4,75264894,None,nan,Intergen,75264259.5,75263625
Interval_50443,Interval_50443,3,105602159,None,nan,Intergen,105601696.0,105601233
Interval_31729,Interval_31729,17,76628349,ENSG00000267123,CTD-2357A8.3,promoter-TSS,76628158.0,76627967
Interval_75762,Interval_75762,9,37532213,ENSG00000147912,FBXO10,intron,37531798.5,37531384
Interval_43629,Interval_43629,20,8584034,ENSG00000182621,PLCB1,intron,8583613.5,8583193
Interval_46137,Interval_46137,21,46722515,ENSG00000184274,LINC00315,intron,46722157.5,46721800
Interval_74565,Interval_74565,8,137500138,None,nan,Intergen,137499433.0,137498728
Interval_59505,Interval_59505,5,95710928,ENSG00000251314,CTD-2337A12.1,intron,95710585.5,95710243
Interval_36463,Interval_36463,19,55417987,ENSG00000189430,NCR1,promoter-TSS,55417511.5,55417036
Interval_8059,Interval_8059,10,24756471,ENSG00000120549,KIAA1217,exon,24755696.0,24754921
Interval_23714,Interval_23714,15,33487661,ENSG00000248905,FMN1,promoter-TSS,33487180.0,33486699
Interval_51245,Interval_51245,3,129656134,None,nan,Intergen,129655719.0,129655304
Interval_62202,Interval_62202,6,10733998,None,nan,Intergen,10733516.5,10733035
Interval_65700,Interval_65700,6,130182779,ENSG00000203756,TMEM244,exon,130182307.5,130181836
Interval_59631,Interval_59631,5,101491409,None,nan,Intergen,101490925.0,101490441
Interval_15489,Interval_15489,12,15432715,ENSG00000134533,RERG,intron,15432336.0,15431957
Interval_30818,Interval_30818,17,55690677,ENSG00000153944,MSI2,intron,55690308.0,55689939
Interval_76650,Interval_76650,9,97671361,ENSG00000148120,C9orf3,intron,97670767.0,97670173
Interval_7309,Interval_7309,10,531514,ENSG00000151240,DIP2C,intron,530921.5,530329
Interval_79200,Interval_79200,X,56810516,ENSG00000204272,RP11-622K12.1,intron,56809713.5,56808911
Interval_57448,Interval_57448,4,187126103,ENSG00000145476,CYP4V2,promoter-TSS,187125401.0,187124699
Interval_74930,Interval_74930,9,2850706,None,nan,Intergen,2850275.5,2849845
Interval_24876,Interval_24876,15,70384762,ENSG00000140332,TLE3,intron,70384560.0,70384358
Interval_59754,Interval_59754,5,106838482,ENSG00000184349,EFNA5,intron,106837988.0,106837494
Interval_67973,Interval_67973,7,24482309,None,nan,Intergen,24481718.0,24481127
Interval_70429,Interval_70429,7,128147663,ENSG00000165055,METTL2B,TTS,128147157.0,128146651
Interval_17666,Interval_17666,12,95943140,ENSG00000136014,USP44,promoter-TSS,95942448.5,95941757
Interval_53703,Interval_53703,4,17338894,None,nan,Intergen,17338580.5,17338267
Interval_18655,Interval_18655,12,127631183,ENSG00000256001,RP11-575F12.2,promoter-TSS,127630824.5,127630466
Interval_47313,Interval_47313,22,41081908,None,nan,Intergen,41081408.5,41080909
Interval_67786,Interval_67786,7,18689301,ENSG00000048052,HDAC9,intron,18688846.0,18688391
Interval_74565,Interval_74565,8,137500138,None,nan,Intergen,137499433.0,137498728
Interval_73429,Interval_73429,8,96100491,ENSG00000254248,RP11-320N21.2,promoter-TSS,96100168.5,96099846
Interval_71344,Interval_71344,7,157363445,ENSG00000155093,PTPRN2,intron,157363138.0,157362831
Interval_47313,Interval_47313,22,41081908,None,nan,Intergen,41081408.5,41080909
Interval_26097,Interval_26097,16,2867968,ENSG00000007038,PRSS21,promoter-TSS,2867463.5,2866959
Interval_5554,Interval_5554,1,193427162,None,nan,Intergen,193426916.0,193426670
Interval_8860,Interval_8860,10,63628176,None,nan,Intergen,63627679.5,63627183
Interval_78551,Interval_78551,X,21393574,ENSG00000149970,CNKSR2,promoter-TSS,21392641.0,21391708
Interval_70248,Interval_70248,7,121000974,ENSG00000196937,FAM3C,intron,121000741.5,121000509
Interval_55728,Interval_55728,4,114926260,None,nan,Intergen,114925907.0,114925554
Interval_31441,Interval_31441,17,73033105,ENSG00000180901,KCTD2,intron,73032921.5,73032738
Interval_40488,Interval_40488,2,148207991,None,nan,Intergen,148207473.5,148206956
Interval_47879,Interval_47879,3,8543727,ENSG00000071282,LMCD1,promoter-TSS,8543247.0,8542767
Interval_63565,Interval_63565,6,41691808,ENSG00000112561,TFEB,promoter-TSS,41691403.0,41690998
Interval_4474,Interval_4474,1,156552824,ENSG00000187862,TTC24,promoter-TSS,156552158.0,156551492
Interval_36805,Interval_36805,2,8423788,ENSG00000236790,LINC00299,intron,8422819.0,8421850
Interval_42714,Interval_42714,2,228683783,ENSG00000115009,CCL20,TTS,228683256.0,228682729
Interval_1874,Interval_1874,1,43815414,ENSG00000117400,MPL,exon,43814971.5,43814529
Interval_42828,Interval_42828,2,231846888,None,nan,Intergen,231846686.5,231846485
Interval_35117,Interval_35117,19,22236085,ENSG00000197134,ZNF257,intron,22235596.0,22235107
Interval_43913,Interval_43913,20,29525360,None,nan,Intergen,29524526.5,29523693
Interval_36671,Interval_36671,2,1785743,None,nan,Intergen,1785253.0,1784763
Interval_31925,Interval_31925,17,79094160,ENSG00000181409,AATK,intron,79093663.5,79093167
Interval_79730,Interval_79730,X,102884918,ENSG00000172465,TCEAL1,intron,102884243.5,102883569
Interval_32264,Interval_32264,18,9067217,None,nan,Intergen,9066589.5,9065962
Interval_44481,Interval_44481,20,43997269,ENSG00000204070,SYS1,TTS,43997025.5,43996782
Interval_78350,Interval_78350,X,13588944,ENSG00000198759,EGFL6,intron,13588286.5,13587629
Interval_59631,Interval_59631,5,101491409,None,nan,Intergen,101490925.0,101490441
Interval_53422,Interval_53422,4,5713391,ENSG00000072840,EVC,promoter-TSS,5712916.5,5712442
Interval_76256,Interval_76256,9,84305180,ENSG00000196781,TLE1,promoter-TSS,84304483.0,84303786
Interval_13092,Interval_13092,11,72533890,ENSG00000168010,ATG16L2,promoter-TSS,72533392.0,72532894
Interval_59740,Interval_59740,5,106632725,None,nan,Intergen,106632249.5,106631774
Interval_78444,Interval_78444,X,17674530,ENSG00000188158,NHS,intron,17673825.0,17673120
Interval_51439,Interval_51439,3,139021802,ENSG00000175110,MRPS22,intron,139021285.0,139020768
Interval_75924,Interval_75924,9,71503747,ENSG00000107242,PIP5K1B,intron,71503385.5,71503024
Interval_63702,Interval_63702,6,43781347,None,nan,Intergen,43781085.5,43780824
Interval_28044,Interval_28044,16,78930514,ENSG00000186153,WWOX,intron,78929541.0,78928568
Interval_23899,Interval_23899,15,40875450,None,nan,Intergen,40875184.0,40874918
Interval_35252,Interval_35252,19,34857970,ENSG00000105220,GPI,TTS,34857745.0,34857520
Interval_55728,Interval_55728,4,114926260,None,nan,Intergen,114925907.0,114925554
Interval_22849,Interval_22849,14,92181713,ENSG00000200042,U3-19,TTS,92181321.5,92180930
Interval_25777,Interval_25777,15,99410075,ENSG00000140443,IGF1R,intron,99409357.5,99408640
Interval_15890,Interval_15890,12,32118794,ENSG00000174718,KIAA1551,intron,32118322.0,32117850
Interval_32232,Interval_32232,18,5457496,ENSG00000082397,EPB41L3,intron,5456877.5,5456259
Interval_60088,Interval_60088,5,124271132,None,nan,Intergen,124270955.5,124270779
Interval_78445,Interval_78445,X,17687482,ENSG00000188158,NHS,intron,17687114.5,17686747
Interval_37381,Interval_37381,2,27614992,ENSG00000115241,PPM1G,intron,27614504.0,27614016
Interval_31758,Interval_31758,17,76886908,ENSG00000178404,DDC8,TTS,76886643.5,76886379
Interval_43655,Interval_43655,20,10483232,ENSG00000149346,SLX4IP,intron,10482547.0,10481862
Interval_45881,Interval_45881,21,40758377,ENSG00000182093,WRB,promoter-TSS,40757982.0,40757587
Interval_60090,Interval_60090,5,124288308,None,nan,Intergen,124287841.5,124287375
Interval_46051,Interval_46051,21,45560237,ENSG00000160221,C21orf33,intron,45560018.5,45559800
Interval_53602,Interval_53602,4,10686635,ENSG00000109684,CLNK,promoter-TSS,10686292.0,10685949
Interval_2021,Interval_2021,1,47085366,None,nan,Intergen,47084897.5,47084429
Interval_18929,Interval_18929,13,24326850,ENSG00000027001,MIPEP,intron,24326589.5,24326329
Interval_54176,Interval_54176,4,41215324,ENSG00000163697,APBB2,intron,41214952.0,41214580
Interval_53421,Interval_53421,4,5710398,ENSG00000173040,EVC2,exon,5710028.5,5709659
Interval_10639,Interval_10639,10,121423956,ENSG00000151929,BAG3,intron,121423536.5,121423117
Interval_26951,Interval_26951,16,29395476,ENSG00000254206,NPIPB11,exon,29394818.5,29394161
Interval_45432,Interval_45432,21,25801768,ENSG00000237484,AP000476.1,intron,25801281.0,25800794
Interval_12461,Interval_12461,11,60878434,ENSG00000110448,CD5,intron,60878302.0,60878170
Interval_47560,Interval_47560,22,46009024,None,nan,Intergen,46008630.5,46008237
Interval_3443,Interval_3443,1,110212693,ENSG00000213366,GSTM2,promoter-TSS,110212262.0,110211831
Interval_71271,Interval_71271,7,155534946,ENSG00000184863,RBM33,exon,155534573.0,155534200
Interval_60086,Interval_60086,5,124229399,None,nan,Intergen,124229256.0,124229113
Interval_75217,Interval_75217,9,16885327,None,nan,Intergen,16885042.5,16884758
Interval_59225,Interval_59225,5,83140939,None,nan,Intergen,83140483.0,83140027
Interval_31866,Interval_31866,17,78579871,ENSG00000141564,RPTOR,intron,78579460.0,78579049
Interval_37331,Interval_37331,2,26701132,ENSG00000115155,OTOF,exon,26700657.0,26700182
Interval_28698,Interval_28698,17,2605896,ENSG00000132361,CLUH,promoter-TSS,2605636.0,2605376
Interval_28206,Interval_28206,16,82687969,ENSG00000140945,CDH13,intron,82687609.5,82687250
Interval_67816,Interval_67816,7,20278872,None,nan,Intergen,20278488.5,20278105
Interval_51567,Interval_51567,3,143000414,ENSG00000181804,SLC9A9,intron,143000094.5,142999775
Interval_46596,Interval_46596,22,25390788,ENSG00000197077,KIAA1671,intron,25390309.0,25389830
Interval_45503,Interval_45503,21,28205383,None,nan,Intergen,28205043.0,28204703
Interval_54179,Interval_54179,4,41259886,ENSG00000251173,UCHL1-AS1,promoter-TSS,41259360.5,41258835
Interval_53239,Interval_53239,4,1295408,ENSG00000090316,MAEA,intron,1294988.5,1294569
Interval_67767,Interval_67767,7,18536592,ENSG00000048052,HDAC9,promoter-TSS,18535629.0,18534666
Interval_27891,Interval_27891,16,71890796,ENSG00000224470,ATXN1L,exon,71890375.0,71889954
Interval_8391,Interval_8391,10,33655302,None,nan,Intergen,33654882.5,33654463
Interval_60909,Interval_60909,5,147162797,ENSG00000176049,JAKMIP2,promoter-TSS,147162219.5,147161642
Interval_21283,Interval_21283,14,31160232,ENSG00000092108,SCFD1,intron,31159842.0,31159452
Interval_36671,Interval_36671,2,1785743,None,nan,Intergen,1785253.0,1784763
Interval_66930,Interval_66930,6,163827597,None,nan,Intergen,163827178.0,163826759
Interval_67772,Interval_67772,7,18562145,ENSG00000048052,HDAC9,intron,18561850.0,18561555
Interval_46052,Interval_46052,21,45564264,ENSG00000160221,C21orf33,intron,45563711.5,45563159
Interval_46740,Interval_46740,22,29993788,None,nan,Intergen,29993391.0,29992994
Interval_56360,Interval_56360,4,142405926,None,nan,Intergen,142405485.5,142405045
Interval_79013,Interval_79013,X,47881038,ENSG00000221994,ZNF630-1,intron,47880503.0,47879968
Interval_53159,Interval_53159,3,197640495,ENSG00000114473,IQCG,promoter-TSS,197639937.0,197639379
Interval_53421,Interval_53421,4,5710398,ENSG00000173040,EVC2,exon,5710028.5,5709659
Interval_30510,Interval_30510,17,46556264,ENSG00000206805,Y_RNA-316,promoter-TSS,46555822.5,46555381
Interval_73284,Interval_73284,8,90320618,None,nan,Intergen,90320015.0,90319412
Interval_52534,Interval_52534,3,182936966,ENSG00000053524,MCF2L2,intron,182936679.5,182936393
Interval_2605,Interval_2605,1,75842277,ENSG00000137968,SLC44A5,intron,75841797.0,75841317
Interval_58910,Interval_58910,5,73926766,ENSG00000171617,ENC1,intron,73926583.5,73926401
Interval_24711,Interval_24711,15,65593210,ENSG00000138617,PARP16,exon,65592843.5,65592477
Interval_46305,Interval_46305,22,20079832,ENSG00000128191,DGCR8,intron,20079353.0,20078874
Interval_46305,Interval_46305,22,20079832,ENSG00000128191,DGCR8,intron,20079353.0,20078874
Interval_5438,Interval_5438,1,187042759,None,nan,Intergen,187042176.0,187041593
Interval_18753,Interval_18753,12,132664000,None,nan,Intergen,132663511.5,132663023
Interval_39830,Interval_39830,2,113993850,ENSG00000189223,PAX8-AS1,promoter-TSS,113993315.0,113992780
Interval_68771,Interval_68771,7,55566513,ENSG00000154978,VOPP1,intron,55566045.5,55565578
Interval_25777,Interval_25777,15,99410075,ENSG00000140443,IGF1R,intron,99409357.5,99408640
Interval_18826,Interval_18826,13,20695574,None,nan,Intergen,20695085.5,20694597
Interval_71043,Interval_71043,7,148769413,ENSG00000197362,ZNF786,exon,148768858.0,148768303
Interval_76195,Interval_76195,9,80443461,ENSG00000156052,GNAQ,intron,80442955.0,80442449
Interval_11486,Interval_11486,11,13509464,None,nan,Intergen,13509010.0,13508556
Interval_63268,Interval_63268,6,35160578,None,nan,Intergen,35160059.0,35159540
Interval_68182,Interval_68182,7,30486044,ENSG00000106100,NOD1,exon,30485778.5,30485513
Interval_60088,Interval_60088,5,124271132,None,nan,Intergen,124270955.5,124270779
Interval_71043,Interval_71043,7,148769413,ENSG00000197362,ZNF786,exon,148768858.0,148768303
Interval_78350,Interval_78350,X,13588944,ENSG00000198759,EGFL6,intron,13588286.5,13587629
Interval_30381,Interval_30381,17,44250102,ENSG00000120071,KANSL1,promoter-TSS,44249585.0,44249068
Interval_75914,Interval_75914,9,71321779,ENSG00000107242,PIP5K1B,promoter-TSS,71320731.5,71319684
Interval_19284,Interval_19284,13,34731557,None,nan,Intergen,34731094.0,34730631
Interval_42182,Interval_42182,2,208021531,ENSG00000118263,KLF7,intron,208020914.0,208020297
Interval_5438,Interval_5438,1,187042759,None,nan,Intergen,187042176.0,187041593
Interval_10835,Interval_10835,10,132100293,None,nan,Intergen,132099719.0,132099145
Interval_7667,Interval_7667,10,11199486,ENSG00000048740,CELF2,intron,11198916.5,11198347
Interval_20853,Interval_20853,13,111842209,ENSG00000102606,ARHGEF7,intron,111841739.5,111841270
Interval_47078,Interval_47078,22,38028207,ENSG00000100083,GGA1,intron,38028002.0,38027797
Interval_32070,Interval_32070,17,80806473,ENSG00000141556,TBCD,intron,80806091.0,80805709
Interval_21283,Interval_21283,14,31160232,ENSG00000092108,SCFD1,intron,31159842.0,31159452
Interval_13346,Interval_13346,11,78003807,ENSG00000033327,GAB2,intron,78003312.0,78002817
Interval_75215,Interval_75215,9,16872065,ENSG00000173068,BNC2,promoter-TSS,16871697.5,16871330
Interval_9443,Interval_9443,10,81071105,ENSG00000108175,ZMIZ1,exon,81070830.0,81070555
Interval_64255,Interval_64255,6,74281891,ENSG00000229862,RP11-505P4.7,TTS,74281319.5,74280748
Interval_36643,Interval_36643,2,318539,ENSG00000233684,AC079779.6,promoter-TSS,318022.5,317506
