,promoter_R_sq,num_eig,num_peaks,num_sigpeaks,eigen0_R_sq,eigen1_R_sq,eigen2_R_sq,eigen3_R_sq,eigen4_R_sq,eigen5_R_sq,eigen6_R_sq,eigen7_R_sq,eigen8_R_sq,eigen9_R_sq,eigen10_R_sq,eigen11_R_sq,eigen12_R_sq,eigen13_R_sq,eigen14_R_sq
WRAP73,0.11891654878854752,0,6.0,0.0,0.18862926415757858,0.0011221888838948394,,,,,,,,,,,,,
LRRC47,0.045934323221445084,0,3.0,0.0,0.09094949829942711,,,,,,,,,,,,,,
CEP104,0,0,5.0,0.0,,,,,,,,,,,,,,,
C1orf174,0.03159121423959732,1,4.0,1.0,0.2076432978107034,,,,,,,,,,,,,,
KCNAB2,0.02178943157196045,1,12.0,1.0,0.3380881085009831,0.0189169516447066,0.014004778081341526,0.002743032897823407,0.00024433563206005326,2.92308232164681e-05,,,,,,,,,
RPL22,0.017088985070586205,0,5.0,0.0,0.12457891606976643,,,,,,,,,,,,,,
RNF207,0,1,5.0,1.0,0.37444900327467173,0.001014643276312852,,,,,,,,,,,,,
ICMT,0,0,2.0,0.0,0.192064028838649,,,,,,,,,,,,,,
GPR153,0,1,2.0,2.0,0.5319853033981199,0.009226628331382774,,,,,,,,,,,,,
ACOT7,0.14741668105125427,1,11.0,0.0,0.22082037764903992,0.09182775389367653,0.021953271741924713,0.004088993297647174,,,,,,,,,,,
TNFRSF25,0.29877328872680664,2,10.0,4.0,0.2859789074785412,0.23196720097637616,0.14016568820608974,0.12977435403732704,0.018226720649613812,0.007603181201154338,0.002075617310386018,0.0004438241362379127,,,,,,,
NOL9,0.08819042891263962,0,5.0,0.0,0.0929613378472505,0.007169988283122315,0.002491523229582592,,,,,,,,,,,,
ZBTB48,0.07154973596334457,0,4.0,0.0,0.11189795624329166,0.0001068571460032546,,,,,,,,,,,,,
KLHL21,0.00023849292483646423,0,5.0,0.0,0.10386797008855003,,,,,,,,,,,,,,
PHF13,0.06319364160299301,0,5.0,0.0,0.11947968902679379,0.0074677620682578735,,,,,,,,,,,,,
THAP3,0,1,5.0,1.0,0.3751274522431096,0.12485826198237077,0.016713319440296272,0.00012946468335592608,,,,,,,,,,,
DNAJC11,5.0325463234912604e-05,0,4.0,0.0,0.0886272625717182,0.0007438003224116018,,,,,,,,,,,,,
CAMTA1,0,1,13.0,0.0,0.4065124135712171,0.15723940924997643,0.046754301745649644,0.014732218436998276,0.0006511122352235152,,,,,,,,,,
VAMP3,0,1,2.0,0.0,0.37288921043556844,0.003055941768893698,,,,,,,,,,,,,
PER3,0.33066534996032715,1,6.0,1.0,0.3306653017392829,,,,,,,,,,,,,,
TNFRSF9,0.001156423008069396,0,8.0,0.0,0.1914238230218581,0.046297385464005164,0.01695722614025359,0.003920258213816138,,,,,,,,,,,
PARK7,0.17297771573066711,1,8.0,1.0,0.3214580832543686,0.012228611435220497,,,,,,,,,,,,,
RERE,0.006448632571846247,1,32.0,3.0,0.38679717363760485,0.15532658448545494,0.14927658170286331,0.04459596769256976,0.03156780389628635,0.016529340606188696,0.014001495760928085,0.011178408515289763,0.009826410421653064,0.0022936368957992516,0.0007756674303954025,9.355408010111783e-05,3.454836008667563e-05,,
RP5-1115A15.1,0.2372647076845169,1,3.0,2.0,0.43951668760980755,0.004830697789899841,,,,,,,,,,,,,
ENO1,0,1,7.0,3.0,0.4586154541438083,0.057926904475045955,0.029509330177066327,0.006868774338002951,0.00340628882662833,,,,,,,,,,
ENO1-AS1,0,0,4.0,1.0,0.19844941115918188,0.03461155559520145,0.016324730725770654,,,,,,,,,,,,
CA6,0,0,10.0,0.0,0.15836166383698455,0.06678554437603518,0.007032746214276344,0.0032693700041422384,,,,,,,,,,,
RP3-510D11.1,0.02979016862809658,2,7.0,1.0,0.21961823386227788,0.20741618112241905,0.043488218133706374,0.011633811103458036,,,,,,,,,,,
RP3-510D11.2,0,1,2.0,1.0,0.3077550957680633,,,,,,,,,,,,,,
H6PD,0.4661981761455536,1,8.0,1.0,0.4392143129851146,0.19836260002342906,0.014830002594334117,0.004887425434777999,,,,,,,,,,,
SLC25A33,0,1,4.0,1.0,0.2061080892373303,,,,,,,,,,,,,,
RP13-15M17.1,0,0,1.0,0.0,0.07346312741938997,,,,,,,,,,,,,,
TMEM201,0,0,4.0,0.0,0.08696959157693332,,,,,,,,,,,,,,
PIK3CD,0.016384730115532875,0,14.0,0.0,0.17728847545391654,0.05473451499548964,0.0025908209995155846,,,,,,,,,,,,
C1orf200,0,0,6.0,0.0,0.11210802902451072,0.0007851117035169671,,,,,,,,,,,,,
RP11-558F24.4,0.01315913163125515,2,11.0,1.0,0.3132780395301366,0.20372077350437798,0.14107122723715096,0.0027898304769414725,,,,,,,,,,,
CLSTN1,0,1,6.0,1.0,0.38740879668813133,0.06864111655555356,0.01681670544488056,,,,,,,,,,,,
CTNNBIP1,0.0021415711380541325,1,6.0,1.0,0.26644893979942275,0.003555926285081507,,,,,,,,,,,,,
LZIC,0.03616657480597496,0,2.0,0.0,,,,,,,,,,,,,,,
RP11-84A14.4,0,1,3.0,1.0,0.2565454709459468,,,,,,,,,,,,,,
NMNAT1,0,1,3.0,1.0,0.23719830015074594,0.025985561315369676,,,,,,,,,,,,,
UBE4B,0.025103703141212463,0,3.0,0.0,0.19681884495760502,,,,,,,,,,,,,,
KIF1B,1.9892879208782688e-05,1,10.0,1.0,0.209586090042168,0.09490002317821784,0.06339356976554641,0.05157613220096736,0.0046774505575769565,0.0006176114687776416,,,,,,,,,
PGD,0.03187849745154381,1,4.0,2.0,0.5826512164181223,0.08267413116416159,,,,,,,,,,,,,
APITD1,0,1,3.0,0.0,0.22608976857608792,0.0039828005748676915,,,,,,,,,,,,,
DFFA,0.03475545346736908,0,4.0,0.0,0.11045245928062858,0.007750190018860593,,,,,,,,,,,,,
PEX14,0,1,8.0,1.0,0.4421980911466909,0.13876716872371275,0.08822869136478521,0.004710344382194447,,,,,,,,,,,
CASZ1,0.045160241425037384,1,5.0,1.0,0.42504077760752823,,,,,,,,,,,,,,
TARDBP,0,0,2.0,0.0,0.10940807598141077,,,,,,,,,,,,,,
RP4-635E18.8,0.008700930513441563,0,1.0,0.0,,,,,,,,,,,,,,,
SRM,0.029326731339097023,0,6.0,0.0,0.06299371803601765,,,,,,,,,,,,,,
EXOSC10,0,1,3.0,0.0,0.2451955200404305,0.007991048359707823,,,,,,,,,,,,,
RP4-635E18.6,0.24635574221611023,1,5.0,1.0,0.28816016940391287,0.015956986150945845,,,,,,,,,,,,,
MTOR,0.000485016469610855,0,4.0,0.0,,,,,,,,,,,,,,,
UBIAD1,0,1,3.0,1.0,0.25567883456141144,0.042319422050205946,,,,,,,,,,,,,
FBXO2,0,1,6.0,2.0,0.4397958192629835,0.08591637635863272,0.054644289488609714,0.00012259589205498733,,,,,,,,,,,
FBXO44,0.00537720276042819,0,3.0,0.0,,,,,,,,,,,,,,,
FBXO6,0.15112020075321198,1,5.0,0.0,0.22380570749638312,0.06953695022745246,0.06177635624626054,0.00029596861612353833,,,,,,,,,,,
MAD2L2,0.36290550231933594,1,7.0,1.0,0.33228073464685765,0.047153977827089855,0.01944023740588604,,,,,,,,,,,,
DRAXIN,0,1,8.0,1.0,0.5749543125877257,0.09391119678701541,0.015013573693827754,0.007070530440089478,0.003295234777028861,,,,,,,,,,
AGTRAP,0,1,5.0,0.0,0.2792210815578512,0.005198330252539826,,,,,,,,,,,,,
MTHFR,0,0,1.0,0.0,0.13898498650890206,,,,,,,,,,,,,,
CLCN6,0,0,1.0,0.0,,,,,,,,,,,,,,,
RNU5E-1,0,0,2.0,0.0,,,,,,,,,,,,,,,
KIAA2013,0,0,2.0,0.0,,,,,,,,,,,,,,,
PLOD1,0,1,5.0,1.0,0.46226123214276427,0.02947213576498094,,,,,,,,,,,,,
MFN2,0.058248646557331085,1,4.0,1.0,0.2632100385424538,0.009651366966317689,0.005274314404838962,,,,,,,,,,,,
MIIP,0,0,5.0,0.0,0.17521727930493464,0.025581586502203414,,,,,,,,,,,,,
TNFRSF1B,0,0,13.0,1.0,0.1872523319178983,0.17894301550286312,0.12925765568782135,0.11690084635853774,0.0003152637089220589,,,,,,,,,,
VPS13D,0,1,15.0,1.0,0.34986396537781195,0.056923897438565914,0.031730192929927264,0.003170054677321311,,,,,,,,,,,
DHRS3,0,0,2.0,0.0,,,,,,,,,,,,,,,
PRDM2,0.06116294115781784,0,8.0,1.0,0.17414632795397228,0.1727554286644966,0.053746538251036396,0.04254598823430409,0.026775502401876147,,,,,,,,,,
EFHD2,0.16490988433361053,0,6.0,0.0,0.18533715008174845,0.1846812541827398,0.02235013257333064,,,,,,,,,,,,
CASP9,0.08061887323856354,0,1.0,0.0,0.08061883235939678,,,,,,,,,,,,,,
DNAJC16,0,1,4.0,1.0,0.36238107357909716,0.09640023016162404,,,,,,,,,,,,,
AGMAT,0,1,7.0,0.0,0.25935154258131526,0.01979741355380774,0.016614497401785767,0.008733896845410084,4.537191140309581e-05,,,,,,,,,,
CHCHD2P6,0,0,4.0,0.0,,,,,,,,,,,,,,,
DDI2,0.034482192248106,0,7.0,0.0,0.1396776202829086,,,,,,,,,,,,,,
PLEKHM2,0.04682793840765953,1,4.0,0.0,0.20281523158276704,0.004963297092613858,,,,,,,,,,,,,
RP11-169K16.7,0,0,3.0,0.0,0.09196309993818086,,,,,,,,,,,,,,
RP11-169K16.8,0,0,2.0,0.0,,,,,,,,,,,,,,,
RP11-169K16.9,0.01605299487709999,0,3.0,0.0,,,,,,,,,,,,,,,
SPEN,0,1,7.0,1.0,0.26412273556556864,0.09364184454897458,0.0803739715265073,,,,,,,,,,,,
ZBTB17,0,1,7.0,3.0,0.3052059198159103,0.1609063286543657,0.060436755240477744,0.004387302726659948,0.0013573088572109448,,,,,,,,,,
ARHGEF19,0.19385886192321777,1,3.0,0.0,0.32448098599514913,0.002767918610584018,,,,,,,,,,,,,
C1orf134,0,0,1.0,0.0,0.06562765014075424,,,,,,,,,,,,,,
MT1XP1,0,0,1.0,0.0,0.1845416698236861,,,,,,,,,,,,,,
FBXO42,0.5826497077941895,2,2.0,1.0,0.3765817685909239,0.21652144883431995,,,,,,,,,,,,,
SZRD1,0.11940155178308487,0,2.0,0.0,0.11940152455068558,,,,,,,,,,,,,,
NECAP2,0,1,3.0,2.0,0.5441606235762003,0.0007260483596466389,,,,,,,,,,,,,
CROCCP3,1.0909567436101497e-06,0,3.0,0.0,,,,,,,,,,,,,,,
NBPF1,0,1,5.0,1.0,0.2633801983245087,0.05462252889022848,0.001498445645017145,0.0005622894204325052,,,,,,,,,,,
CROCCP2,0,0,3.0,0.0,0.07806775870157757,,,,,,,,,,,,,,
EIF1AXP1,0,0,5.0,0.0,0.1951450089809558,,,,,,,,,,,,,,
CROCC,0,0,11.0,0.0,0.12533699362949888,0.12379566935695903,0.0012461611938775867,,,,,,,,,,,,
ATP13A2,2.0182998923701234e-05,0,2.0,0.0,,,,,,,,,,,,,,,
SDHB,0.023829681798815727,0,2.0,0.0,,,,,,,,,,,,,,,
RCC2,0.09023886173963547,0,3.0,0.0,0.12597594154513791,2.0845170874137137e-05,,,,,,,,,,,,,
IFFO2,0.18628695607185364,1,7.0,0.0,0.25531541888097886,0.04554819497834624,0.042144057259378816,,,,,,,,,,,,
UBR4,0.008237556554377079,1,6.0,1.0,0.2702466277854236,,,,,,,,,,,,,,
RP1-43E13.2,0,0,4.0,0.0,0.1188668026404536,,,,,,,,,,,,,,
EMC1,0.01089988462626934,0,2.0,0.0,,,,,,,,,,,,,,,
MRTO4,0,1,4.0,0.0,0.3983815793249862,0.023327417549734806,0.00255293038782622,,,,,,,,,,,,
AKR7A2,0.031787171959877014,0,2.0,0.0,0.10108785705252064,,,,,,,,,,,,,,
PQLC2,0,0,1.0,0.0,0.09561812080107453,,,,,,,,,,,,,,
CAPZB,0.0005412907339632511,1,14.0,1.0,0.2782668412889241,0.15738757521936597,0.11215726590495971,0.0525582795756154,0.0448258694224688,0.02538909562833662,0.011054256883677394,1.7184374673169853e-06,,,,,,,
MINOS1,0.016150033101439476,0,3.0,0.0,0.09709275864908413,,,,,,,,,,,,,,
RPS14P3,0,1,3.0,1.0,0.30925720791876293,0.010985514595550866,,,,,,,,,,,,,
NBL1,0.0008594193495810032,0,5.0,0.0,0.12392767629192711,,,,,,,,,,,,,,
TMCO4,0.06351534277200699,1,6.0,1.0,0.48189709966292826,0.08859916912977618,0.020547077226937483,0.009559910178955067,,,,,,,,,,,
OTUD3,0,0,1.0,0.0,,,,,,,,,,,,,,,
UBXN10-AS1,0,0,2.0,0.0,,,,,,,,,,,,,,,
UBXN10,0.010274781845510006,0,5.0,0.0,0.14485606854496644,,,,,,,,,,,,,,
MUL1,0,1,2.0,1.0,0.3411503720409209,0.004647643071215774,,,,,,,,,,,,,
PINK1-AS,0,0,5.0,0.0,0.17308824677588625,0.00011989808159722604,,,,,,,,,,,,,
DDOST,0.03289905562996864,0,4.0,0.0,0.09291732331063564,,,,,,,,,,,,,,
HP1BP3,0.0044023883529007435,0,1.0,0.0,,,,,,,,,,,,,,,
EIF4G3,0,0,6.0,0.0,0.1453933384115352,0.00023958237935805773,,,,,,,,,,,,,
RPS15AP6,0,0,0.0,0.0,,,,,,,,,,,,,,,
ECE1,0.08312852680683136,3,13.0,4.0,0.26504936366128706,0.26462858048739707,0.2420239875987299,0.07503513854625209,0.022213300831381438,0.02136963091471788,0.012290162276798064,0.011995695403203473,0.0008108350173099923,0.0006763936471022992,,,,,
NBPF3,0,0,3.0,0.0,,,,,,,,,,,,,,,
USP48,0.10548130422830582,2,5.0,1.0,0.33026924992356516,0.24653615459050807,0.000247319457102642,,,,,,,,,,,,
RP11-26H16.1,0,0,0.0,0.0,,,,,,,,,,,,,,,
LINC00339,0.032472580671310425,0,3.0,0.0,,,,,,,,,,,,,,,
CDC42,0,1,7.0,0.0,0.2655400831005568,0.0833520183153288,0.050083941555777736,,,,,,,,,,,,
ZBTB40,0,1,3.0,1.0,0.2293949862007992,,,,,,,,,,,,,,
KDM1A,0,0,1.0,0.0,0.13345220393488594,,,,,,,,,,,,,,
LUZP1,0,0,6.0,0.0,0.12120955435145034,,,,,,,,,,,,,,
RP5-1057J7.6,0,0,0.0,0.0,,,,,,,,,,,,,,,
HNRNPR,0.06860285252332687,0,1.0,0.0,0.06860287075050439,,,,,,,,,,,,,,
ZNF436,0,0,3.0,0.0,0.15456259532134287,0.03317993881636713,,,,,,,,,,,,,
E2F2,0.0007811959367245436,2,10.0,2.0,0.21868903606363127,0.20977208364247232,0.18003838586374116,0.086709699832967,0.07628132559573728,0.03203527935271683,0.0007845518554142918,,,,,,,,
ID3,0.06445702165365219,1,7.0,2.0,0.3183330996299102,0.10169926174688729,0.05936805004822715,0.025061764011802445,0.011242939310084424,0.0034320510898629988,0.0006079254442145662,,,,,,,,
RPL11,0.2922647297382355,1,1.0,1.0,0.2922647784430916,,,,,,,,,,,,,,
TCEB3,0,0,2.0,0.0,,,,,,,,,,,,,,,
RP5-886K2.3,0.11657709628343582,0,5.0,0.0,0.16035530547858462,0.0009353689106938209,,,,,,,,,,,,,
PITHD1,0,0,3.0,0.0,0.10115979776883514,,,,,,,,,,,,,,
LYPLA2,0.00045377566129900515,0,4.0,0.0,0.1104279062296089,,,,,,,,,,,,,,
GALE,0.0029012379236519337,1,4.0,1.0,0.3043863381559592,0.014500634496143255,,,,,,,,,,,,,
HMGCL,0.03522993251681328,0,5.0,0.0,,,,,,,,,,,,,,,
FUCA1,0.0021625650115311146,0,3.0,0.0,,,,,,,,,,,,,,,
PNRC2,0.01173857506364584,0,3.0,0.0,,,,,,,,,,,,,,,
SRSF10,0.08361616730690002,0,1.0,0.0,0.08361616347228358,,,,,,,,,,,,,,
IFNLR1,0.022120194509625435,0,4.0,0.0,,,,,,,,,,,,,,,
STPG1,0.01629558578133583,0,3.0,0.0,,,,,,,,,,,,,,,
NIPAL3,0.014976520091295242,0,3.0,0.0,0.12080926468628425,,,,,,,,,,,,,,
RCAN3,0,0,3.0,0.0,0.11083801393956388,,,,,,,,,,,,,,
SRRM1,0.050936855375766754,0,3.0,0.0,0.05093685049227063,,,,,,,,,,,,,,
RUNX3,0.044130824506282806,1,10.0,1.0,0.3172786992397372,0.026009819498525637,5.119827306524669e-05,,,,,,,,,,,,
SYF2,0.07900771498680115,0,5.0,0.0,0.161726435771902,0.09749550177795176,0.015088662085601848,,,,,,,,,,,,
C1orf63,0.006876760628074408,0,8.0,0.0,0.18532350721867027,0.12900907593706964,0.04627500533319971,0.031168983648064228,0.013228504870984408,,,,,,,,,,
RHD,0,1,6.0,1.0,0.2513136627195246,0.17510919241913075,0.06354226129197282,0.019524800482179135,0.007063709115656026,,,,,,,,,,
SDHDP6,0,0,2.0,0.0,0.07205355027585508,,,,,,,,,,,,,,
TMEM50A,0.01862107217311859,0,3.0,0.0,,,,,,,,,,,,,,,
TMEM57,8.975374657893553e-05,0,4.0,0.0,0.17704559026558922,0.002317732074644365,,,,,,,,,,,,,
LDLRAP1,0.05514975264668465,2,7.0,2.0,0.42820472785742886,0.34212752905835214,0.03577824589470473,0.009255000779950038,,,,,,,,,,,
MTFR1L,0,0,1.0,0.0,,,,,,,,,,,,,,,
STMN1,0,0,2.0,0.0,,,,,,,,,,,,,,,
PAFAH2,0,0,2.0,0.0,,,,,,,,,,,,,,,
PDIK1L,0.010492895729839802,0,4.0,0.0,0.18146819155798757,0.008216015259984806,,,,,,,,,,,,,
ZNF593,0,0,5.0,0.0,0.06122054022317839,,,,,,,,,,,,,,
CEP85,0,0,5.0,0.0,0.06832713474705189,,,,,,,,,,,,,,
SH3BGRL3,0,0,4.0,0.0,0.18273466203643451,2.3821295898358744e-05,,,,,,,,,,,,,
UBXN11,0.03036455065011978,0,6.0,0.0,0.13174769943745573,0.0044838750088066395,,,,,,,,,,,,,
CD52,0.2435993105173111,1,7.0,3.0,0.5873026105144047,0.014004205436055791,0.011634337960275428,0.000795067803035298,,,,,,,,,,,
LIN28A,0,0,6.0,0.0,,,,,,,,,,,,,,,
DHDDS,0.06354262679815292,1,4.0,0.0,0.3306305289619974,0.005186164422968435,,,,,,,,,,,,,
HMGN2,0,0,1.0,0.0,,,,,,,,,,,,,,,
RPS6KA1,0.0270211324095726,2,6.0,0.0,0.3149548466218453,0.21212830529060245,0.02934315981837887,0.0009870200123413956,,,,,,,,,,,
ARID1A,0,0,9.0,0.0,0.166683675595354,0.0035976891781941676,,,,,,,,,,,,,
PIGV,0,0,4.0,0.0,0.11113333445666543,6.111079351033532e-06,,,,,,,,,,,,,
ZDHHC18,0,0,5.0,0.0,,,,,,,,,,,,,,,
GPN2,0.07640904933214188,0,4.0,0.0,0.11653387933986863,0.002031630483347354,,,,,,,,,,,,,
GPATCH3,0.150710791349411,0,4.0,0.0,0.19003228855127927,0.0002224340521069882,,,,,,,,,,,,,
NUDC,0,0,4.0,0.0,,,,,,,,,,,,,,,
SLC9A1,0.17951957881450653,1,5.0,0.0,0.25021297709560575,0.0038176646153512835,,,,,,,,,,,,,
CHCHD3P3,0,0,1.0,0.0,,,,,,,,,,,,,,,
NPM1P39,0,0,0.0,0.0,,,,,,,,,,,,,,,
WDTC1,0,1,4.0,1.0,0.42763091360106503,0.06447680481725998,,,,,,,,,,,,,
TMEM222,0.0019445016514509916,0,4.0,0.0,0.05864600781268238,,,,,,,,,,,,,,
SYTL1,0.06539315730333328,0,6.0,0.0,0.19921625297177872,0.0270023784412972,0.0071592154396916815,,,,,,,,,,,,
MAP3K6,0,0,4.0,0.0,0.07644684911412813,,,,,,,,,,,,,,
WASF2,0,1,13.0,0.0,0.21815948843626704,0.1992535216826511,0.14887538940175069,0.10903267545791176,0.08131977890503246,0.0390844993440207,0.007857694304340858,0.0035221621911723424,,,,,,,
AHDC1,0.33582165837287903,1,11.0,1.0,0.39634376849503666,0.06271076394814014,0.00790820354258024,,,,,,,,,,,,
RP1-159A19.3,0,1,6.0,1.0,0.3396429128049725,0.07155427620799233,,,,,,,,,,,,,
IFI6,0.05223701894283295,0,3.0,0.0,0.05223702237919325,,,,,,,,,,,,,,
FAM76A,0,0,1.0,0.0,,,,,,,,,,,,,,,
STX12,0.0018207276007160544,0,1.0,0.0,,,,,,,,,,,,,,,
PPP1R8,0.017891570925712585,0,1.0,0.0,,,,,,,,,,,,,,,
THEMIS2,0,0,5.0,0.0,0.18631070254301574,0.0008282606624654786,,,,,,,,,,,,,
RPA2,0,0,4.0,0.0,,,,,,,,,,,,,,,
EYA3,0,0,11.0,1.0,0.15140469109561625,0.12923624264315328,0.03117222661739184,0.025552242664081876,0.00017742302980676045,,,,,,,,,,
RN7SL559P,0,0,2.0,0.0,,,,,,,,,,,,,,,
SPCS2P4,0,1,5.0,1.0,0.3300005853958611,0.03193136517069077,,,,,,,,,,,,,
DNAJC8,0.12393601983785629,1,6.0,1.0,0.2967518892890562,0.00966948433834929,,,,,,,,,,,,,
AL353354.1,0,0,4.0,0.0,,,,,,,,,,,,,,,
ATPIF1,0,0,5.0,0.0,0.07538209668640776,,,,,,,,,,,,,,
RP5-1092A3.4,0,1,4.0,1.0,0.22458656270275082,0.16143157455064686,3.89091578365209e-05,,,,,,,,,,,,
SESN2,0.11150047928094864,0,5.0,0.0,0.17249551437278143,0.000168826413821194,8.537579154580409e-07,,,,,,,,,,,,
MED18,0.23575526475906372,1,3.0,1.0,0.3161045556360472,0.021740667375427035,,,,,,,,,,,,,
PHACTR4,0.1353883147239685,1,10.0,0.0,0.21648134546846462,0.09257171069320637,0.0620552910913175,0.0604536078276191,0.03677912545205806,,,,,,,,,,
SNHG3,0.00021996223949827254,0,3.0,0.0,,,,,,,,,,,,,,,
SNORA73B,0,0,3.0,0.0,0.05425853799584614,,,,,,,,,,,,,,
TRNAU1AP,0.0002130204375134781,1,6.0,1.0,0.25341393397831874,0.006293782556268721,,,,,,,,,,,,,
SNHG12,1.3411570762400515e-05,0,1.0,0.0,,,,,,,,,,,,,,,
SNORD99,0,0,1.0,0.0,0.11571286099391963,,,,,,,,,,,,,,
TAF12,0,0,0.0,0.0,,,,,,,,,,,,,,,
