gene_name,transcript_length,GC_content,gene_name,highly_variable,highly_variable_rank,means,variances,variances_norm,mt,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts,on_ratio,pathway
DDI2,2652.6666666666665,42.4,DDI2,True,7296.0,28.0,1106.0,1.080606679581137,False,7,1.1735314,0.77635324,22.22222222222222,10.561783,2.447705,0.1111111111111111,
RP11-169K16.7,396.0,45.93,RP11-169K16.7,False,,47.333333333333336,629.2499999999997,0.3102944023630347,False,9,3.5285451,1.5104008,0.0,31.756907,3.4891138,1.0,
RP11-169K16.8,441.0,55.63,RP11-169K16.8,False,,12.11111111111111,61.8611111111111,0.19114446134646507,False,9,2.1134875,1.1357435,0.0,19.021387,2.9968011,0.4444444444444444,
SPEN,3360.6,42.99,SPEN,False,,54.77777777777778,627.6944444444443,0.25969015714295,False,9,1.7643129,1.016792,0.0,15.878816,2.8260593,0.1111111111111111,
ZBTB17,1111.8823529411766,51.22000000000002,ZBTB17,True,466.0,38.77777777777778,3352.444444444445,2.0654064337879654,False,6,1.4980898,0.91552633,33.333333333333336,13.482808,2.6729622,0.3333333333333333,
C1orf134,252.0,52.76,C1orf134,True,4505.0,1.1111111111111112,11.11111111111111,1.3122918092761644,False,1,0.29036528,0.25492534,88.88888888888889,2.6132874,1.284618,0.1111111111111111,
FBXO42,2805.0,43.85,FBXO42,True,1116.0,36.333333333333336,6215.75,1.7297653288334005,False,4,0.8139821,0.5955245,55.55555555555556,7.325839,2.1193638,0.1111111111111111,
SZRD1,1503.8181818181818,48.100000000000016,SZRD1,False,,423.22222222222223,35860.944444444416,0.8990514535195836,False,9,4.4200225,1.6901,0.0,39.7802,3.7081966,1.0,
NECAP2,1339.3846153846155,49.399999999999984,NECAP2,True,1038.0,164.88888888888889,17667.86111111111,1.7517403252197514,False,8,3.2530873,1.4476452,11.111111111111116,29.277786,3.4104142,0.8888888888888888,
CROCCP2,2185.6666666666665,53.25,CROCCP2,False,,94.66666666666667,3404.999999999999,0.7181584549904325,False,9,2.5613089,1.2701281,0.0,23.05178,3.180209,0.6666666666666666,
ATP13A2,1533.0,57.23000000000001,ATP13A2,True,2282.0,12.0,673.5,1.4765670780964424,False,4,0.6730494,0.51464796,55.55555555555556,6.0574446,1.9540831,0.1111111111111111,
SDHB,701.75,43.51,SDHB,False,,709.7777777777778,73179.44444444435,0.8000099400067519,False,9,5.7104216,1.9036617,0.0,51.393795,3.9587882,1.0,Mitochondrial Respiration
RCC2,2300.0,51.68,RCC2,False,,44.44444444444444,1641.5277777777778,0.8739247073216241,False,8,1.6583209,0.9776947,11.111111111111116,14.924889,2.7678833,0.1111111111111111,
UBR4,4582.0,43.74,UBR4,True,1189.0,67.66666666666667,5286.249999999999,1.7025476410503322,False,8,1.4143519,0.8814309,11.111111111111116,12.729168,2.6195226,0.2222222222222222,
MRTO4,1100.6666666666667,53.49,MRTO4,True,1383.0,40.77777777777778,2789.944444444444,1.6541412113032852,False,7,1.8466047,1.046127,22.22222222222222,16.619442,2.869003,0.4444444444444444,
AKR7A2,947.0,52.86999999999999,AKR7A2,False,,71.22222222222223,2950.4444444444443,0.8936782597824132,False,8,2.8271437,1.3421187,11.111111111111116,25.444294,3.2750404,0.7777777777777778,
CAPZB,1126.2727272727273,49.220000000000006,CAPZB,True,6019.0,608.3333333333334,89732.49999999997,1.2638654660214126,False,9,5.0541897,1.8007505,0.0,45.48771,3.8391879,1.0,
MINOS1,903.1111111111111,42.949999999999996,MINOS1,False,,82.77777777777777,1931.1944444444453,0.48434321220068355,False,9,3.268419,1.4512435,0.0,29.415771,3.4149613,1.0,
RPS14P3,455.0,55.38,RPS14P3,False,,6.0,102.5,0.8091314394325497,False,8,1.1210092,0.75189203,11.111111111111116,10.089083,2.405961,0.1111111111111111,
NBL1,927.8888888888889,56.980000000000004,NBL1,False,,34.0,1079.2500000000002,0.8122324326318147,False,8,2.1703658,1.153847,11.111111111111116,19.533293,3.0220475,0.4444444444444444,
TMCO4,1509.111111111111,48.92000000000001,TMCO4,True,1647.0,11.666666666666666,500.0,1.5943815273286774,False,3,0.57438445,0.45386437,66.66666666666667,5.1694603,1.8196113,0.1111111111111111,
OTUD3,2377.0,41.28,OTUD3,True,901.0,27.555555555555557,1803.5277777777776,1.8006555274164964,False,3,0.8229032,0.6004304,66.66666666666667,7.406129,2.128961,0.2222222222222222,
UBXN10-AS1,510.0,56.61,UBXN10-AS1,True,6472.0,28.88888888888889,1271.611111111111,1.1913193472776031,False,7,1.9785131,1.0914242,22.22222222222222,17.806618,2.9342089,0.4444444444444444,
UBXN10,5571.0,47.24,UBXN10,True,977.0,40.22222222222222,3767.444444444445,1.7737794087415066,False,5,0.84443206,0.6121714,44.44444444444444,7.5998883,2.1517491,0.1111111111111111,
MUL1,2436.0,47.53,MUL1,True,2364.0,24.77777777777778,1922.6944444444443,1.4620979389146986,False,6,0.9617879,0.67385626,33.333333333333336,8.656091,2.2675889,0.1111111111111111,
DDOST,1204.5,50.54,DDOST,True,70.0,553.0,253292.00000000006,3.027254287899907,False,9,4.68926,1.7385802,0.0,42.20334,3.7659178,1.0,
HP1BP3,1313.2857142857142,41.17000000000001,HP1BP3,False,,252.55555555555554,15274.527777777792,0.8250036270942759,False,9,4.0427732,1.6179562,0.0,36.38496,3.6212685,1.0,
EIF4G3,2633.722222222222,39.36000000000001,EIF4G3,True,6878.0,109.88888888888889,6554.611111111115,1.1334181458628902,False,9,2.4007273,1.2239894,0.0,21.606546,3.1182396,0.4444444444444444,
USP48,1672.8666666666666,41.84000000000002,USP48,False,,196.44444444444446,4174.777777777774,0.3232189411496925,False,9,3.6081395,1.5278242,0.0,32.473255,3.5107467,1.0,
LINC00339,810.6,46.95,LINC00339,True,7230.0,47.333333333333336,2204.9999999999995,1.0873248426070583,False,9,2.5890722,1.2778938,0.0,23.30165,3.1905441,0.7777777777777778,
CDC42,1395.5,41.82,CDC42,False,,1606.111111111111,110524.61111111142,0.29804078402215245,False,9,5.891703,1.9303182,0.0,53.02533,3.989453,1.0,
RP1-224A6.9,748.0,43.32,RP1-224A6.9,True,3788.0,3.5555555555555554,80.02777777777777,1.3275309923915526,False,2,0.4494721,0.37119943,77.77777777777779,4.045249,1.618447,0.1111111111111111,
KDM1A,1994.0,39.160000000000004,KDM1A,True,2084.0,29.555555555555557,1661.7777777777776,1.5096817699624299,False,4,0.949655,0.6676524,55.55555555555556,8.546895,2.256216,0.2222222222222222,
HNRNPR,2024.6153846153845,38.85000000000001,HNRNPR,True,255.0,415.55555555555554,119100.52777777781,2.317475370796923,False,9,3.9412897,1.5976263,0.0,35.471607,3.596534,1.0,
C1orf213,893.6666666666666,51.57,C1orf213,True,2456.0,7.222222222222222,469.44444444444446,1.4430594599811675,False,1,0.31132331,0.2710368,88.88888888888889,2.80191,1.3355036,0.1111111111111111,
E2F2,2870.5,51.66,E2F2,True,2861.0,98.22222222222223,6928.944444444442,1.3918225931506916,False,9,2.1908407,1.1602844,0.0,19.717566,3.030982,0.4444444444444444,
ID3,922.0,57.27,ID3,True,873.0,136.33333333333334,14017.749999999996,1.8101348606316472,False,8,3.3526535,1.4707856,11.111111111111116,30.173882,3.4395807,0.8888888888888888,
RPL11,721.0,46.18,RPL11,False,,1293.888888888889,205849.36111111104,0.8096861747104462,False,9,6.294819,1.9871644,0.0,56.65337,4.0544486,1.0,Ribosomal Processes
TCEB3,2775.3333333333335,45.70000000000001,TCEB3,True,6646.0,68.66666666666667,3684.5,1.166110837131031,False,8,1.812851,1.0341985,11.111111111111116,16.315659,2.8516111,0.2222222222222222,
RP5-886K2.3,766.5,45.68,RP5-886K2.3,False,,11.88888888888889,332.6111111111111,1.053706109568053,False,4,1.0541581,0.7198661,55.55555555555556,9.487423,2.3501768,0.2222222222222222,
PITHD1,1216.3333333333333,44.59,PITHD1,False,,153.33333333333334,7769.499999999996,0.8528696224231418,False,9,3.538192,1.5125287,0.0,31.843729,3.4917607,0.8888888888888888,
LYPLA2,976.9090909090909,62.38999999999999,LYPLA2,False,,14.11111111111111,377.1111111111112,0.9477786408274309,False,6,1.1773468,0.7781071,33.333333333333336,10.596122,2.4506707,0.2222222222222222,
GALE,1008.2,60.059999999999974,GALE,False,,23.666666666666668,530.2499999999998,0.6524739743470555,False,6,1.5459733,0.93451303,33.333333333333336,13.913759,2.7022843,0.5555555555555556,
HMGCL,1366.2,46.84000000000001,HMGCL,True,7035.0,85.88888888888889,4650.861111111112,1.1127863544683938,False,7,2.4221494,1.2302688,22.22222222222222,21.799345,3.1267319,0.6666666666666666,
FUCA1,2047.0,45.7,FUCA1,True,331.0,54.888888888888886,10759.361111111111,2.2081383515634974,False,3,0.9535558,0.6696512,66.66666666666667,8.582003,2.2598865,0.3333333333333333,
PNRC2,945.25,43.71,PNRC2,False,,304.1111111111111,12062.86111111113,0.4976899675431505,False,9,4.5829315,1.719714,0.0,41.246384,3.7435188,1.0,
SRSF10,1562.375,39.019999999999996,SRSF10,False,,487.6666666666667,23848.24999999996,0.47903120954642353,False,9,4.5676904,1.7169803,0.0,41.109215,3.7402666,1.0,
STPG1,1741.076923076923,44.09000000000002,STPG1,True,2487.0,14.666666666666666,603.2500000000001,1.4384809456936398,False,4,0.6627612,0.5084796,55.55555555555556,5.964851,1.9408762,0.1111111111111111,
NIPAL3,1955.625,45.0,NIPAL3,False,,376.77777777777777,30927.944444444463,0.9260201393986922,False,9,4.0278835,1.6149992,0.0,36.25095,3.6176775,1.0,
RCAN3,1738.2857142857142,41.86000000000001,RCAN3,False,,44.0,1315.5000000000002,0.7090573409420458,False,8,1.8776659,1.0569795,11.111111111111116,16.898993,2.8847444,0.2222222222222222,
SRRM1,1243.875,41.76,SRRM1,False,,418.6666666666667,35975.5,0.9170901537735129,False,9,4.586501,1.7203531,0.0,41.27851,3.744279,1.0,
snoU13-7,105.0,42.86,snoU13,True,4405.0,1.2222222222222223,13.444444444444445,1.3131129778843256,False,1,0.39298117,0.33144617,88.88888888888889,3.5368304,1.5122286,0.1111111111111111,
CLIC4,2045.0,41.67,CLIC4,True,1755.0,9.555555555555555,449.7777777777777,1.5727911248284605,False,2,0.4943341,0.40168068,77.77777777777779,4.449007,1.6954334,0.1111111111111111,
RUNX3,2179.6666666666665,54.800000000000004,RUNX3,False,,254.77777777777777,17260.944444444453,0.920661431307507,False,9,3.5217574,1.5089008,0.0,31.695816,3.4872472,1.0,
SYF2,1167.75,43.61,SYF2,False,,693.2222222222222,34808.194444444576,0.3956910436150169,False,9,5.2118344,1.8264563,0.0,46.90651,3.8692515,1.0,
C1orf63,1043.9565217391305,46.399999999999984,C1orf63,True,1552.0,291.44444444444446,36781.02777777777,1.6154364899816231,False,9,4.2899942,1.6658171,0.0,38.609947,3.6790802,1.0,
SDHDP6,480.0,53.96,SDHDP6,False,,3.0,40.0,0.9543475667445529,False,3,0.5570474,0.44279134,66.66666666666667,5.013427,1.7939948,0.1111111111111111,
TMEM50A,1139.3333333333333,42.04,TMEM50A,False,,1554.111111111111,141607.11111111153,0.40457103716505266,False,9,6.0466614,1.952554,0.0,54.419952,4.01494,1.0,
RNU6-1171P,64.0,43.75,RNU6-1171P,True,4755.0,0.6666666666666666,4.0,1.3098569510116398,False,1,0.35691416,0.30521312,88.88888888888889,3.2122276,1.4379916,0.1111111111111111,
snoU13-8,104.0,42.31,snoU13,True,7482.0,0.5555555555555556,1.7777777777777777,1.0581213275289405,False,2,0.4067378,0.3412734,77.77777777777779,3.6606402,1.5391529,0.1111111111111111,
MTFR1L,1221.3478260869565,49.429999999999986,MTFR1L,True,913.0,98.22222222222223,8944.194444444443,1.7966274668707929,False,8,2.576272,1.274321,11.111111111111116,23.186447,3.1857924,0.7777777777777778,
AUNIP,1304.3333333333333,42.49,AUNIP,False,,26.0,706.25,0.7633702775522065,False,6,1.4461417,0.894512,33.333333333333336,13.015275,2.640148,0.1111111111111111,
