gene_name,transcript_length,GC_content,gene_name,TSS,start,end,chr,dir,ENSG,highly_variable,highly_variable_rank,means,variances,variances_norm,mt,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts,F_pval
SLC35E2B,4311.5,53.64,SLC35E2B,1624083,1592939,1624167,1,-1,ENSG00000189339,False,,10.32857142857143,704.4846790890269,0.6555850462710332,False,20,0.39202002,0.33075595,71.42857142857143,27.4414,3.3478458,0.12046614937525667
CDK11A,1353.0833333333333,51.99,CDK11A,1654270,1634169,1655766,1,-1,ENSG00000008128,False,,9.557142857142857,251.96045548654246,0.2627394597111213,False,47,1.1049993,0.74431515,32.85714285714286,77.34995,4.3611856,0.9134897373502487
SLC35E2,1287.0,52.17,SLC35E2,1677358,1656277,1677431,1,-1,ENSG00000215790,False,,2.7285714285714286,73.15714285714287,0.4650157985506482,False,8,0.26566228,0.23559552,88.57142857142857,18.59636,2.9753437,0.21482177662462376
NADK,1305.5263157894738,53.700000000000024,NADK,1709909,1682671,1711896,1,-1,ENSG00000008130,False,,4.014285714285714,250.1592132505176,0.9068991231713244,False,11,0.32274625,0.27971005,84.28571428571429,22.592237,3.1609178,0.7107768948753604
GNB1,1257.75,46.68,GNB1,1822495,1716729,1822495,1,-1,ENSG00000078369,True,3415.0,94.94285714285714,19995.503933747415,1.2327266284869898,False,51,2.485508,1.2486138,27.142857142857146,173.98557,5.1647034,0.3948777933515649
PRKCZ,985.0370370370371,56.440000000000026,PRKCZ,1981909,1981909,2116834,1,1,ENSG00000067606,True,2870.0,4.257142857142857,386.39668737060043,1.2876279601092016,False,4,0.20749068,0.1885444,94.28571428571428,14.524347,2.7424095,0.6623295700312648
C1orf86,1776.0666666666666,60.960000000000015,C1orf86,2139172,2115903,2144159,1,-1,ENSG00000162585,False,,21.257142857142856,1177.672049689441,0.41504005922116,False,33,1.1650168,0.7724281,52.85714285714286,81.55117,4.4134183,0.28970955456739816
RER1,1243.0,53.84000000000002,RER1,2323267,2323267,2336883,1,1,ENSG00000157916,False,,331.9,42583.424637681186,0.6521655824186864,False,64,4.5630383,1.7161444,8.571428571428575,319.4127,5.76961,0.6481632791058726
PANK4,1128.75,60.71000000000001,PANK4,2458039,2439972,2458039,1,-1,ENSG00000157881,True,3164.0,29.0,5165.855072463769,1.2544776118835699,False,21,0.9721963,0.6791478,70.0,68.05374,4.234885,0.7656477235961853
RP3-395M20.8,1772.6666666666667,62.87,RP3-395M20.8,2483545,2481359,2488470,1,1,ENSG00000238164,True,5698.0,10.17142857142857,1131.7093167701864,1.0767707024603195,False,17,0.45054457,0.37193906,75.71428571428571,31.53812,3.4824123,0.030431313737084343
TNFRSF14,1266.75,64.05999999999997,TNFRSF14,2487078,2487078,2496821,1,1,ENSG00000157873,False,,61.8,9381.147826086957,0.9314160770456273,False,40,1.8909286,1.0615778,42.85714285714286,132.365,4.89309,0.008492764721476427
FAM213B,1652.0666666666666,64.59000000000002,FAM213B,2517930,2517930,2522908,1,1,ENSG00000157870,False,,6.014285714285714,370.21718426501036,0.7550350513659325,False,10,0.32971975,0.2849682,85.71428571428572,23.080383,3.1813974,0.7965366176243728
TPRG1L,2301.5,52.22,TPRG1L,3541566,3541566,3546691,1,1,ENSG00000158109,False,,9.714285714285714,909.6273291925467,0.9258869868184714,False,11,0.3669763,0.3126012,84.28571428571429,25.688341,3.284227,0.49514683375564916
WRAP73,1461.7,55.25,WRAP73,3566622,3547331,3569325,1,-1,ENSG00000116213,True,5756.0,31.4,4863.808695652175,1.073771095421281,False,22,0.9940021,0.6901437,68.57142857142857,69.58015,4.2567487,0.79885242262017
LRRC47,1219.0,54.46,LRRC47,3713068,3696784,3713068,1,-1,ENSG00000130764,False,,18.1,1866.9608695652175,0.8049150342735463,False,20,0.8171452,0.59726673,71.42857142857143,57.200165,4.063888,0.04210975149204042
CEP104,1336.8181818181818,47.92000000000001,CEP104,3773763,3728645,3773778,1,-1,ENSG00000116198,True,824.0,7.942857142857143,1204.344513457557,1.646950523361779,False,8,0.29211715,0.25628206,88.57142857142857,20.4482,3.0656407,0.6216249925064947
C1orf174,2560.6666666666665,49.32,C1orf174,3816811,3805689,3816857,1,-1,ENSG00000198912,False,,109.3,7891.140579710147,0.4176487183731817,False,61,2.7404025,1.3191932,12.857142857142856,191.82817,5.2617993,0.0005684924485214337
KCNAB2,1612.1,56.049999999999976,KCNAB2,6051526,6051526,6161253,1,1,ENSG00000069424,False,,98.01428571428572,14453.956314699793,0.8611178658429239,False,54,2.4605057,1.2414148,22.857142857142854,172.2354,5.154651,0.6982933237995375
RPL22,1003.75,50.61000000000001,RPL22,6257817,6241329,6269449,1,-1,ENSG00000116251,False,,90.42857142857143,4831.929606625259,0.31391596105796293,False,66,3.6051807,1.5271819,5.714285714285716,252.36266,5.534822,0.005026246944869645
RNF207,1614.0,57.32000000000001,RNF207,6265535,6265535,6281359,1,1,ENSG00000158286,False,,4.728571428571429,243.0412008281574,0.6965257086590703,False,10,0.35140777,0.30114684,85.71428571428572,24.598543,3.2425354,0.7758473507976219
ICMT,1863.6,49.59,ICMT,6296000,6281253,6296032,1,-1,ENSG00000116237,False,,11.785714285714286,1258.46066252588,0.971316396414153,False,8,0.39319882,0.33160242,88.57142857142857,27.523916,3.3507428,0.3195237023401509
ACOT7,1464.6363636363637,54.0,ACOT7,6453421,6324329,6454451,1,-1,ENSG00000097021,True,1087.0,53.957142857142856,13502.592339544515,1.569030315793459,False,26,1.294711,0.8306069,62.857142857142854,90.62977,4.517756,0.08610784376306971
TNFRSF25,1203.3,59.700000000000024,TNFRSF25,6523682,6521211,6526255,1,1,ENSG00000215788,False,,12.557142857142857,633.2068322981366,0.44678978083944254,False,19,0.8017306,0.5887476,72.85714285714286,56.12114,4.045174,0.4148502335501481
NOL9,1877.8,47.78,NOL9,6614595,6581407,6614595,1,-1,ENSG00000162408,True,609.0,20.12857142857143,4566.635403726708,1.7214604507606917,False,16,0.56219375,0.4460911,77.14285714285715,39.35356,3.6976798,0.9283045536026373
ZBTB48,1423.25,57.77999999999999,ZBTB48,6640061,6640061,6649340,1,1,ENSG00000204859,True,3713.0,4.271428571428571,362.34554865424434,1.20163334940286,False,8,0.2630558,0.23353402,88.57142857142857,18.413906,2.9659896,0.6808082888131106
KLHL21,2695.8,54.46,KLHL21,6662929,6650784,6674667,1,-1,ENSG00000162413,True,977.0,46.77142857142857,11643.251345755694,1.5998397749970188,False,20,0.91557354,0.6500171,71.42857142857143,64.09015,4.175773,0.7487664437241413
THAP3,1030.875,56.769999999999996,THAP3,6684926,6684926,6695646,1,1,ENSG00000041988,True,3360.0,34.285714285714285,6215.888198757764,1.2370068772117937,False,21,1.1183786,0.750651,70.0,78.28651,4.373068,0.0422959633737046
DNAJC11,1410.857142857143,46.600000000000016,DNAJC11,6705117,6694228,6761984,1,1,ENSG00000007923,True,4443.0,13.157142857142857,1738.598136645963,1.1491685422421962,False,13,0.54858845,0.43734384,81.42857142857143,38.40119,3.6737962,0.4682678566827685
CAMTA1,1567.2941176470588,48.0,CAMTA1,6845384,6845384,7829766,1,1,ENSG00000171735,False,,123.94285714285714,12469.330020703936,0.5756536075558819,False,61,3.2732677,1.4523789,12.857142857142856,229.12874,5.4386387,0.7386945051006624
VAMP3,1144.3333333333333,42.77,VAMP3,7831329,7831329,7841492,1,1,ENSG00000049245,True,5189.0,34.642857142857146,5605.914078674948,1.1020913756900028,False,25,1.17587,0.77742857,64.28571428571428,82.3109,4.4225793,0.2837770344810444
PER3,2435.4285714285716,40.53000000000001,PER3,7844380,7844380,7905237,1,1,ENSG00000049246,True,711.0,6.071428571428571,835.9223602484473,1.681854325030593,False,5,0.2753637,0.2432314,92.85714285714286,19.27546,3.0094113,0.5954738448437052
TNFRSF9,984.0,43.31,TNFRSF9,8000926,7979907,8000926,1,-1,ENSG00000049249,True,5663.0,191.14285714285714,37475.05175983437,1.0784972093686764,False,52,3.5259483,1.5098271,25.71428571428571,246.81638,5.512688,0.02376623442533589
PARK7,811.3,45.40999999999999,PARK7,8014351,8014351,8045565,1,1,ENSG00000116288,True,3800.0,1688.2428571428572,737327.4329192542,1.1931820316099329,False,69,6.9071636,2.067769,1.4285714285714235,483.50146,6.1831203,0.13515048818791014
RERE,2044.111111111111,41.89999999999999,RERE,8877524,8412457,8877702,1,-1,ENSG00000142599,True,3377.0,16.642857142857142,6073.5662525879925,1.23591895932369,False,19,0.5646096,0.44763634,72.85714285714286,39.52267,3.7018616,0.7778481176588813
RP5-1115A15.1,477.5,45.0,RP5-1115A15.1,8484705,8484705,8494898,1,1,ENSG00000232912,True,2180.0,3.1714285714285713,269.5933747412009,1.3677281894960722,False,6,0.2587399,0.23011114,91.42857142857143,18.111792,2.9503055,0.6169871794216
ENO1,1131.6666666666667,50.23,ENO1,8938749,8921061,8939308,1,-1,ENSG00000074800,True,2053.0,1888.6285714285714,1024177.1354037273,1.3863033231845678,False,70,6.7060266,2.0420027,0.0,469.42188,6.15363,0.06255924828478394
CA6,978.3333333333334,48.06,CA6,9005926,9005926,9035151,1,1,ENSG00000131686,True,1992.0,40.51428571428571,8567.2099378882,1.397989408516817,False,40,1.7952708,1.027929,42.85714285714286,125.66895,4.841577,0.44146456899059144
RP3-510D11.1,450.0,52.82,RP3-510D11.1,9262678,9242066,9262678,1,-1,ENSG00000228526,False,,0.7428571428571429,6.541614906832298,0.35263243062067406,False,8,0.23194487,0.20859411,88.57142857142857,16.236141,2.8470085,0.3735923816799237
RP3-510D11.2,985.0,53.03,RP3-510D11.2,9242263,9242263,9252148,1,1,ENSG00000234546,True,5497.0,4.3,330.6768115942029,1.0860496385586809,False,6,0.2412593,0.21612643,91.42857142857143,16.888151,2.8841386,0.4698848999872132
PIK3CD,2441.714285714286,51.32999999999999,PIK3CD,9711803,9711790,9789172,1,1,ENSG00000171608,False,,157.4142857142857,25978.130227743277,0.9245861662727274,False,61,2.945319,1.3725297,12.857142857142856,206.17233,5.333551,0.6740312835872924
RP11-558F24.4,939.0,49.65,RP11-558F24.4,9747613,9732484,9747613,1,-1,ENSG00000231789,True,2301.0,4.614285714285714,455.3997929606626,1.351335798692003,False,5,0.23819621,0.21365565,92.85714285714286,16.673735,2.8720796,0.4407262197200227
CLSTN1,3598.5,47.37,CLSTN1,9884584,9789084,9884584,1,-1,ENSG00000171603,False,,28.15714285714286,3845.003933747412,0.9671102118634752,False,26,0.7679536,0.5698227,62.857142857142854,53.756752,4.0029006,0.36199862838098146
LZIC,1121.5,43.88999999999999,LZIC,9995678,9982173,10003465,1,-1,ENSG00000162441,False,,57.4,5498.968115942029,0.5944619331117481,False,43,2.2132003,1.1672674,38.57142857142857,154.92403,5.049369,0.11896747938368367
RP11-84A14.4,440.0,47.05,RP11-84A14.4,10002981,10002981,10010032,1,1,ENSG00000228150,False,,1.6571428571428573,20.95320910973085,0.2911191177951541,False,11,0.39492115,0.33283788,84.28571428571429,27.644482,3.354961,0.11717705120728877
NMNAT1,1538.4,46.13,NMNAT1,10003486,10003486,10045559,1,1,ENSG00000173614,False,,5.457142857142857,358.5995859213251,0.8396272193101947,False,12,0.32228416,0.27936068,82.85714285714285,22.55989,3.1595457,0.2474105193946481
UBE4B,2103.3636363636365,44.12,UBE4B,10092890,10092890,10241297,1,1,ENSG00000130939,False,,13.914285714285715,1087.7026915113872,0.6657402436245426,False,14,0.5592236,0.444188,80.0,39.145653,3.6925142,0.6853428488971989
KIF1B,4289.3,41.99,KIF1B,10270863,10270863,10441661,1,1,ENSG00000054523,True,953.0,19.571428571428573,4116.016563146998,1.6067547670369269,False,14,0.41502443,0.3471468,80.0,29.05171,3.4029195,0.5715700035111808
PGD,912.9166666666666,47.69,PGD,10458649,10458649,10480201,1,1,ENSG00000142657,True,2628.0,263.72857142857146,65606.14265010352,1.3134520511280812,False,55,3.9817789,1.605787,21.42857142857143,278.72452,5.6338053,0.05777926544949699
APITD1,894.4285714285714,47.92000000000001,APITD1,10490500,10490159,10512210,1,1,ENSG00000175279,False,,3.142857142857143,141.9792960662526,0.7299570770857039,False,7,0.28441682,0.2503048,90.0,19.909178,3.040188,0.772873812544611
DFFA,2726.3333333333335,48.52,DFFA,10532583,10516579,10532583,1,-1,ENSG00000160049,False,,53.042857142857144,5327.432919254658,0.6315921629873957,False,35,1.4395419,0.8918103,50.0,100.76794,4.622695,0.26973346100394385
PEX14,1014.0,45.03,PEX14,10532345,10532345,10690815,1,1,ENSG00000142655,False,,3.8142857142857145,118.18240165631471,0.4606206484194446,False,13,0.40832558,0.34240147,81.42857142857143,28.58279,3.3871927,0.12619463580510673
TARDBP,1176.4,44.019999999999996,TARDBP,11072414,11072414,11085796,1,1,ENSG00000120948,False,,145.38571428571427,18827.05196687371,0.7314820741562191,False,54,3.3075154,1.4603612,22.857142857142854,231.52608,5.4490023,0.021595037385171628
RP4-635E18.8,870.0,42.99,RP4-635E18.8,11089716,11089716,11090585,1,1,ENSG00000271895,False,,41.285714285714285,5990.786749482401,0.955605968204204,False,31,1.6212103,0.96363616,55.714285714285715,113.484726,4.7404413,0.5333106264424564
SRM,669.3333333333334,59.88,SRM,11115261,11114641,11120081,1,1,ENSG00000116649,True,5281.0,15.757142857142858,2119.201035196688,1.096859867153646,False,19,0.8445817,0.61225253,72.85714285714286,59.12072,4.0963545,0.7880222433053936
EXOSC10,1386.6666666666667,46.38,EXOSC10,11159926,11126675,11159938,1,-1,ENSG00000171824,True,304.0,132.8,44886.19130434783,1.9238741364510836,False,46,2.498163,1.2522379,34.285714285714285,174.87141,5.169753,0.07447137092312581
RP4-635E18.6,463.5,52.8,RP4-635E18.6,11159732,11159732,11162157,1,1,ENSG00000230337,False,,2.5,103.67391304347827,0.7524013232209406,False,5,0.25645915,0.22829756,92.85714285714286,17.95214,2.941917,0.7270530895887695
MTOR,2618.1428571428573,44.540000000000006,MTOR,11191615,11166592,11322564,1,1,ENSG00000198793,True,5176.0,34.957142857142856,5670.30248447205,1.1029580139120938,False,25,0.95260555,0.66916466,64.28571428571428,66.68239,4.214826,0.5106368105935544
UBIAD1,1673.75,48.21,UBIAD1,11333263,11333263,11356106,1,1,ENSG00000120942,True,4621.0,36.4,6131.28695652174,1.1370545967979178,False,20,0.9186482,0.65162086,71.42857142857143,64.305374,4.1790743,0.3891662400000014
FBXO2,746.0,61.17,FBXO2,11714739,11708424,11715842,1,-1,ENSG00000116661,True,5515.0,18.6,2606.185507246377,1.0849113368385643,False,22,0.8849788,0.63391656,68.57142857142857,61.948513,4.1423173,0.40439517019714255
FBXO44,1593.2222222222222,54.94,FBXO44,11714432,11714432,11723384,1,1,ENSG00000132879,False,,29.885714285714286,3066.8563146997926,0.7182222573609297,False,41,1.4328259,0.8890535,41.42857142857142,100.29781,4.618065,0.29882026357853764
FBXO6,1083.6666666666667,55.28,FBXO6,11724181,11724181,11734411,1,1,ENSG00000116663,True,387.0,217.42857142857142,74249.20496894412,1.8528248315481393,False,50,3.3541415,1.4711275,28.57142857142857,234.7899,5.462941,0.5996467276555939
MAD2L2,1042.111111111111,53.90999999999998,MAD2L2,11751707,11734537,11751707,1,-1,ENSG00000116670,False,,232.17142857142858,42848.17308488613,0.992715712158829,False,51,3.6444213,1.5356668,27.142857142857146,255.1095,5.545605,0.07806162548250041
DRAXIN,7346.0,53.39,DRAXIN,11751786,11751786,11785914,1,1,ENSG00000162490,True,1873.0,23.87142857142857,4639.157142857143,1.4172668328258293,False,17,0.3949612,0.3328666,75.71428571428571,27.647285,3.3550587,0.0015864219579768207
AGTRAP,911.0714285714286,54.37,AGTRAP,11796141,11796141,11814859,1,1,ENSG00000177674,True,3690.0,217.62857142857143,48267.83105590062,1.203240614749164,False,48,3.4125342,1.4844491,31.428571428571427,238.8774,5.480128,0.018564577402703737
CLCN6,2392.777777777778,47.769999999999996,CLCN6,11866268,11866207,11903201,1,1,ENSG00000011021,True,2529.0,12.928571428571429,5233.052795031056,1.3239257925667904,False,10,0.29880103,0.26144156,85.71428571428572,20.916073,3.0872202,0.41105257022660113
PLOD1,1326.4,53.540000000000006,PLOD1,11994262,11994262,12035595,1,1,ENSG00000083444,True,1667.0,12.542857142857143,2803.701035196688,1.4503756813476203,False,8,0.3786988,0.32114014,88.57142857142857,26.508915,3.31451,0.6628723744102719
MFN2,1823.8333333333333,51.12,MFN2,12040356,12040238,12073571,1,1,ENSG00000116688,False,,5.828571428571428,290.46293995859213,0.6195340160124945,False,13,0.3726325,0.31673044,81.42857142857143,26.084276,3.2989533,0.7978360364879065
MIIP,1151.375,55.62,MIIP,12079523,12079523,12092102,1,1,ENSG00000116691,False,,40.48571428571429,4723.1229813664595,0.7713699676063703,False,27,1.3981261,0.8746877,61.42857142857143,97.86883,4.593794,0.15741745401127086
TNFRSF1B,2058.0,55.39,TNFRSF1B,12227060,12227060,12269285,1,1,ENSG00000028137,False,,168.14285714285714,22887.892339544516,0.7577638603627294,False,64,3.2354488,1.4434893,8.571428571428575,226.48141,5.4270687,0.15082217364941813
VPS13D,4312.875,42.33,VPS13D,12290124,12290124,12572099,1,1,ENSG00000048707,False,,45.92857142857143,6974.241200828157,0.9791044787043852,False,32,0.92802715,0.6564973,54.28571428571429,64.9619,4.1890774,0.5004785829437239
DHRS3,1031.0,51.31,DHRS3,12677737,12627939,12677737,1,-1,ENSG00000162496,True,1118.0,10.885714285714286,1805.7548654244308,1.5597900165243774,False,6,0.3081756,0.26863348,91.42857142857143,21.572292,3.116723,0.001543690068809937
PRDM2,2571.0714285714284,43.440000000000005,PRDM2,14026693,14026693,14151574,1,1,ENSG00000116731,False,,48.6,7089.779710144929,0.9313817221791034,False,49,1.4572504,0.89904296,30.000000000000004,102.00752,4.634802,0.7131152092732571
EFHD2,1659.0,56.77,EFHD2,15736391,15736391,15756839,1,1,ENSG00000142634,False,,27.685714285714287,2645.2331262939956,0.6787061467318082,False,37,1.2542498,0.8128172,47.14285714285714,87.797485,4.486358,0.7670311053666591
CASP9,1473.8181818181818,48.699999999999996,CASP9,15850940,15817327,15853029,1,-1,ENSG00000132906,False,,50.57142857142857,6205.291925465839,0.7780525144912372,False,29,1.3691728,0.86254084,58.57142857142856,95.842094,4.573082,0.7142656148605933
DNAJC16,2576.3333333333335,44.67000000000001,DNAJC16,15853308,15853308,15918874,1,1,ENSG00000116138,False,,49.042857142857144,4844.389440993789,0.6296804899376728,False,45,1.5932223,0.95290124,35.71428571428571,111.52556,4.7231803,0.8671406132009175
AGMAT,2500.0,49.63,AGMAT,15911605,15898848,15911605,1,-1,ENSG00000116771,True,3391.0,5.814285714285714,577.0519668737061,1.2351127715537447,False,5,0.20445526,0.1860274,92.85714285714286,14.311868,2.7286282,0.5970716220133107
DDI2,2652.6666666666665,42.4,DDI2,15943995,15943995,15995539,1,1,ENSG00000197312,True,2341.0,14.642857142857142,2356.667701863354,1.3461841313299416,False,16,0.46316522,0.38060206,77.14285714285715,32.421566,3.5092013,0.8143535813947839
PLEKHM2,2423.0,52.0,PLEKHM2,16010827,16010827,16061264,1,1,ENSG00000116786,True,3380.0,7.3428571428571425,807.4169772256729,1.2356972854214987,False,11,0.30755156,0.26815635,84.28571428571429,21.52861,3.1147861,0.51143179557399
RP11-169K16.7,396.0,45.93,RP11-169K16.7,16134144,16133679,16134194,1,-1,ENSG00000233954,False,,7.457142857142857,34.45465838509317,0.05157346980029404,False,64,2.2331436,1.1734549,8.571428571428575,156.32005,5.0582824,0.9275015880775709
RP11-169K16.9,2132.0,50.07,RP11-169K16.9,16174642,16160560,16174642,1,-1,ENSG00000179743,False,,23.514285714285716,2412.8041407867495,0.7507809345567104,False,22,0.8734122,0.6277615,68.57142857142857,61.138855,4.1293716,0.9641959173022575
SPEN,3360.6,42.99,SPEN,16174359,16174359,16266955,1,1,ENSG00000065526,True,1718.0,25.114285714285714,6476.914285714286,1.4415399239246312,False,29,0.6970675,0.52890176,58.57142857142856,48.794724,3.907909,0.015772186682908796
ZBTB17,1111.8823529411766,51.22000000000002,ZBTB17,16269217,16268364,16302627,1,1,ENSG00000116809,True,5829.0,8.928571428571429,928.1832298136646,1.0709692686707426,False,8,0.38637912,0.3266954,88.57142857142857,27.04654,3.3338652,0.5259886276572915
C1orf134,252.0,52.76,C1orf134,16556038,16555368,16556038,1,-1,ENSG00000204377,False,,1.6571428571428573,53.127122153209115,0.7381361418788556,False,4,0.23636338,0.21217431,94.28571428571428,16.545437,2.864794,0.6028450714823902
FBXO42,2805.0,43.85,FBXO42,16678949,16573334,16678949,1,-1,ENSG00000037637,True,4024.0,26.82857142857143,4412.115113871636,1.1744697245137528,False,18,0.6372442,0.49301448,74.28571428571429,44.607094,3.8200634,0.1499611885632022
SZRD1,1503.8181818181818,48.100000000000016,SZRD1,16679070,16679070,16724640,1,1,ENSG00000055070,False,,80.92857142857143,8040.618012422359,0.5897684129566487,False,50,2.4168732,1.2287259,28.57142857142857,169.18112,5.136863,0.21841058447178519
NECAP2,1339.3846153846155,49.399999999999984,NECAP2,16767167,16767167,16786573,1,1,ENSG00000157191,True,6636.0,135.38571428571427,24983.48674948241,1.0487864745720286,False,51,2.922252,1.366666,27.142857142857146,204.55763,5.3257265,0.5848818949342272
NBPF1,2260.0,43.99,NBPF1,16939982,16888814,16940057,1,-1,ENSG00000219481,True,1237.0,16.257142857142856,3085.4981366459633,1.5318126670305592,False,26,0.50487226,0.408708,62.857142857142854,35.341057,3.5929482,0.8058145714957585
CROCCP2,2185.6666666666665,53.25,CROCCP2,16961054,16944751,16971178,1,-1,ENSG00000215908,False,,40.07142857142857,2448.212215320911,0.4048186661875004,False,54,1.8232218,1.0378788,22.857142857142854,127.62553,4.8569055,0.5398343885023249
EIF1AXP1,435.0,38.62,EIF1AXP1,17012550,17012116,17012550,1,-1,ENSG00000236698,False,,4.428571428571429,21.204968944099374,0.06673757967432838,False,54,1.5288074,0.9277478,22.857142857142854,107.01652,4.6822844,0.7871059322861413
ATP13A2,1533.0,57.23000000000001,ATP13A2,17338267,17312453,17338423,1,-1,ENSG00000159363,True,5454.0,7.614285714285714,749.1679089026916,1.0883354387426003,False,7,0.2956707,0.25902846,90.0,20.696949,3.0771716,0.28397940396416793
SDHB,701.75,43.51,SDHB,17380665,17345217,17380665,1,-1,ENSG00000117118,False,,424.3285714285714,86782.5426501035,0.9870071511109353,False,62,5.1793504,1.8212131,11.428571428571432,362.55453,5.8959293,0.04978220147588925
RCC2,2300.0,51.68,RCC2,17766220,17733256,17766220,1,-1,ENSG00000179051,False,,10.4,476.2434782608696,0.43881965923198835,False,19,0.5871527,0.46194166,72.85714285714286,41.10069,3.7400641,0.8805255425521321
